t_s,ADC_mean
0,1913
0.001,1902
0.002,1895.33333333333
0.003,1893.33333333333
0.004,1902
0.005,1902.66666666667
0.006,1892.33333333333
0.007,1894.33333333333
0.008,1898.66666666667
0.009,1899.66666666667
0.01,1902.66666666667
0.011,1904.33333333333
0.012,1906.33333333333
0.013,1896.33333333333
0.014,1900.33333333333
0.015,1898.33333333333
0.016,1898
0.017,1894.66666666667
0.018,1898.66666666667
0.019,1897
0.02,1900
0.021,1888
0.022,1894
0.023,1899
0.024,1896
0.025,1892.66666666667
0.026,1902.66666666667
0.027,1896.66666666667
0.028,1894.66666666667
0.029,1896.66666666667
0.03,1902.66666666667
0.031,1888.66666666667
0.032,1895.66666666667
0.033,1895.33333333333
0.034,1904.33333333333
0.035,1898.66666666667
0.036,1895
0.037,1894.33333333333
0.038,1893
0.039,1898.33333333333
0.04,1890.66666666667
0.041,1893.33333333333
0.042,1898.66666666667
0.043,1895.33333333333
0.044,1890
0.045,1895.66666666667
0.046,1892
0.047,1898.33333333333
0.048,1897
0.049,1899
0.05,1895.33333333333
0.051,1895
0.052,1898.66666666667
0.053,1899.33333333333
0.054,1899
0.055,1895
0.056,1901
0.057,1901
0.058,1898
0.059,1900.66666666667
0.06,1900
0.061,1901
0.062,1903
0.063,1898
0.064,1900
0.065,1899.33333333333
0.066,1898.33333333333
0.067,1896.66666666667
0.068,1896.33333333333
0.069,1894.66666666667
0.07,1891.66666666667
0.071,1894.33333333333
0.072,1899
0.073,1898.33333333333
0.074,1894.33333333333
0.075,1903
0.076,1896.66666666667
0.077,1895.66666666667
0.078,1897
0.079,1898.66666666667
0.08,1895.33333333333
0.081,1892.66666666667
0.082,1895.66666666667
0.083,1899
0.084,1901
0.085,1895.66666666667
0.086,1893.66666666667
0.087,1896.33333333333
0.088,1898.33333333333
0.089,1895.66666666667
0.09,1893.33333333333
0.091,1897
0.092,1897.33333333333
0.093,1894.66666666667
0.094,1902.33333333333
0.095,1901
0.096,1898
0.097,1895.33333333333
0.098,1901.66666666667
0.099,1900.66666666667
0.1,1899.33333333333
0.101,1896
0.102,1898
0.103,1890.33333333333
0.104,1897
0.105,1901
0.106,1897
0.107,1895.33333333333
0.108,1898
0.109,1894.33333333333
0.11,1898.66666666667
0.111,1890.33333333333
0.112,1898.66666666667
0.113,1897.33333333333
0.114,1900.33333333333
0.115,1896.66666666667
0.116,1898.33333333333
0.117,1899
0.118,1894.33333333333
0.119,1899
