t,y
0,2037
0.001,2041
0.002,2025
0.003,2028
0.004,2016
0.005,2018
0.006,2015
0.007,2013
0.008,2025
0.009,2021
0.01,2019
0.011,2029
0.012,2025
0.013,2012
0.014,2023
0.015,2031
0.016,2021
0.017,2018
0.018,2025
0.019,2014
0.02,2023
0.021,2022
0.022,2023
0.023,2013
0.024,2020
0.025,2024
0.026,2019
0.027,2015
0.028,2011
0.029,2008
0.03,2020
0.031,2021
0.032,2012
0.033,2018
0.034,2015
0.035,2013
0.036,2017
0.037,2020
0.038,2017
0.039,2022
0.04,2021
0.041,2018
0.042,2009
0.043,2017
0.044,2026
0.045,2021
0.046,2025
0.047,2010
0.048,2025
0.049,2028
0.05,2029
0.051,2026
0.052,2020
0.053,2018
0.054,2029
0.055,2024
0.056,2023
0.057,2020
0.058,2017
0.059,2021
0.06,2020
0.061,2018
0.062,2015
0.063,2018
0.064,2015
0.065,2023
0.066,2016
0.067,2023
0.068,2023
0.069,2016
0.07,2016
0.071,2010
0.072,2021
0.073,2020
0.074,2022
0.075,2013
0.076,2026
0.077,2022
0.078,2011
0.079,2021
0.08,2020
0.081,2026
0.082,2027
0.083,2015
0.084,2020
0.085,2013
0.086,2011
0.087,2021
0.088,2020
0.089,2017
0.09,2013
0.091,2022
0.092,2020
0.093,2021
0.094,2029
0.095,2026
0.096,2020
0.097,2023
0.098,2024
0.099,2015
0.1,2010
0.101,2027
0.102,2020
0.103,2023
0.104,2015
0.105,2031
0.106,2019
0.107,2025
0.108,2021
0.109,2012
0.11,2025
0.111,2014
0.112,2017
0.113,2014
0.114,2026
0.115,2024
0.116,2011
0.117,2014
0.118,2013
0.119,2008
0.12,2020
0.121,2020
0.122,2025
0.123,2014
0.124,2023
0.125,2028
0.126,2014
0.127,2022
0.128,2030
0.129,2009
0.13,2020
0.131,2015
0.132,2013
0.133,2021
0.134,2014
0.135,2015
0.136,2011
0.137,2030
0.138,2010
0.139,2013
0.14,2020
0.141,2017
0.142,2013
0.143,2018
0.144,2023
0.145,2015
0.146,2013
0.147,2022
0.148,2020
0.149,2014
0.15,2015
0.151,2027
0.152,2017
0.153,2026
0.154,2009
0.155,2015
0.156,2017
0.157,2026
0.158,2021
0.159,2019
0.16,2028
0.161,2025
0.162,2022
0.163,2011
0.164,2017
0.165,2018
0.166,2028
0.167,2015
0.168,2019
0.169,2023
0.17,2026
0.171,2023
0.172,2019
0.173,2019
0.174,2021
0.175,2021
0.176,2024
0.177,2021
0.178,2019
0.179,2025
0.18,2019
0.181,2013
0.182,2024
0.183,2014
0.184,2017
0.185,2019
0.186,2016
0.187,2013
0.188,2019
0.189,2027
0.19,2017
0.191,2015
0.192,2025
0.193,2010
0.194,2022
0.195,2020
0.196,2011
0.197,2021
0.198,2018
0.199,2014
0.2,2021
0.201,2015
0.202,2028
0.203,2026
0.204,2024
0.205,2018
0.206,2022
0.207,2013
0.208,2007
0.209,2014
0.21,2025
0.211,2028
0.212,2012
0.213,2030
0.214,2014
0.215,2017
0.216,2020
0.217,2027
0.218,2016
0.219,2014
0.22,2019
0.221,2031
0.222,2020
0.223,2024
0.224,2027
0.225,2021
0.226,2014
0.227,2017
0.228,2019
0.229,2020
0.23,2021
0.231,2023
0.232,2023
0.233,2013
0.234,2013
0.235,2022
0.236,2015
0.237,2013
0.238,2015
0.239,2021
0.24,2017
0.241,2025
0.242,2025
0.243,2027
0.244,2027
0.245,2021
0.246,2020
0.247,2013
0.248,2027
0.249,2013
0.25,2020
0.251,2027
0.252,2008
0.253,2014
0.254,2017
0.255,2018
0.256,2018
0.257,2012
0.258,2015
0.259,2013
0.26,2024
