t,y
0,1927
0.001,1913
0.002,1897
0.003,1920
0.004,1903
0.005,1899
0.006,1910
0.007,1902
0.008,1906
0.009,1907
0.01,1907
0.011,1897
0.012,1894
0.013,1905
0.014,1904
0.015,1903
0.016,1901
0.017,1908
0.018,1898
0.019,1911
0.02,1903
0.021,1899
0.022,1915
0.023,1905
0.024,1915
0.025,1895
0.026,1907
0.027,1903
0.028,1912
0.029,1900
0.03,1896
0.031,1901
0.032,1899
0.033,1894
0.034,1901
0.035,1900
0.036,1894
0.037,1909
0.038,1896
0.039,1902
0.04,1899
0.041,1906
0.042,1904
0.043,1915
0.044,1906
0.045,1907
0.046,1909
0.047,1897
0.048,1898
0.049,1905
0.05,1901
0.051,1905
0.052,1910
0.053,1899
0.054,1907
0.055,1911
0.056,1915
0.057,1920
0.058,1908
0.059,1905
0.06,1913
0.061,1901
0.062,1898
0.063,1907
0.064,1910
0.065,1900
0.066,1893
0.067,1907
0.068,1896
0.069,1908
0.07,1905
0.071,1907
0.072,1898
0.073,1905
0.074,1903
0.075,1910
0.076,1902
0.077,1894
0.078,1896
0.079,1896
0.08,1906
0.081,1898
0.082,1897
0.083,1907
0.084,1903
0.085,1902
0.086,1901
0.087,1912
0.088,1911
0.089,1904
0.09,1902
0.091,1914
0.092,1901
0.093,1900
0.094,1910
0.095,1908
0.096,1897
0.097,1900
0.098,1902
0.099,1896
0.1,1895
0.101,1901
0.102,1911
0.103,1908
0.104,1909
0.105,1899
0.106,1903
0.107,1911
0.108,1907
0.109,1899
0.11,1906
0.111,1898
0.112,1897
0.113,1902
0.114,1914
0.115,1898
0.116,1911
0.117,1898
0.118,1911
0.119,1902
0.12,1911
0.121,1903
0.122,1900
0.123,1900
0.124,1907
0.125,1900
0.126,1900
0.127,1903
0.128,1900
0.129,1897
0.13,1907
0.131,1908
0.132,1910
0.133,1899
0.134,1902
0.135,1903
0.136,1899
0.137,1896
0.138,1897
0.139,1901
0.14,1906
0.141,1908
0.142,1912
0.143,1911
0.144,1900
0.145,1903
0.146,1904
0.147,1903
0.148,1898
0.149,1902
0.15,1903
0.151,1902
0.152,1906
0.153,1903
0.154,1899
0.155,1912
0.156,1902
0.157,1901
0.158,1909
0.159,1898
0.16,1910
0.161,1915
0.162,1911
0.163,1897
0.164,1895
0.165,1903
0.166,1914
0.167,1896
0.168,1909
0.169,1896
0.17,1908
0.171,1901
0.172,1917
0.173,1908
0.174,1901
0.175,1912
0.176,1903
0.177,1907
0.178,1908
0.179,1908
0.18,1902
0.181,1897
0.182,1897
0.183,1905
0.184,1907
0.185,1900
0.186,1912
0.187,1900
0.188,1907
0.189,1900
0.19,1898
0.191,1911
0.192,1900
0.193,1903
0.194,1894
0.195,1913
0.196,1897
0.197,1898
0.198,1899
0.199,1897
0.2,1900
0.201,1899
0.202,1899
0.203,1907
0.204,1902
0.205,1910
0.206,1906
0.207,1904
0.208,1907
0.209,1903
0.21,1908
0.211,1907
0.212,1904
0.213,1900
0.214,1901
0.215,1900
0.216,1909
0.217,1892
0.218,1905
0.219,1907
0.22,1914
0.221,1909
0.222,1903
0.223,1907
0.224,1900
0.225,1906
0.226,1902
0.227,1908
0.228,1909
0.229,1901
0.23,1897
0.231,1908
0.232,1914
0.233,1899
0.234,1899
0.235,1897
0.236,1896
0.237,1901
0.238,1895
0.239,1903
0.24,1912
0.241,1909
0.242,1902
0.243,1899
0.244,1908
0.245,1904
0.246,1897
0.247,1904
0.248,1906
0.249,1899
0.25,1900
0.251,1898
0.252,1906
0.253,1901
0.254,1902
0.255,1898
0.256,1899
0.257,1911
0.258,1895
0.259,1907
0.26,1907
0.261,1895
0.262,1897
0.263,1903
0.264,1908
0.265,1897
0.266,1905
0.267,1907
0.268,1903
0.269,1903
0.27,1907
0.271,1898
0.272,1903
0.273,1906
0.274,1909
0.275,1900
0.276,1903
0.277,1909
0.278,1910
0.279,1907
0.28,1902
0.281,1906
0.282,1904
0.283,1897
0.284,1898
0.285,1905
0.286,1912
0.287,1915
0.288,1902
0.289,1904
0.29,1899
0.291,1901
0.292,1909
0.293,1898
0.294,1909
0.295,1908
0.296,1901
0.297,1899
0.298,1899
0.299,1902
0.3,1899
0.301,1912
0.302,1902
0.303,1894
0.304,1893
0.305,1902
0.306,1895
0.307,1909
0.308,1899
0.309,1907
0.31,1906
0.311,1904
0.312,1902
0.313,1905
0.314,1909
0.315,1909
0.316,1905
0.317,1905
0.318,1890
0.319,1901
0.32,1897
0.321,1903
0.322,1902
0.323,1895
0.324,1913
0.325,1899
0.326,1905
0.327,1901
0.328,1899
0.329,1903
0.33,1918
0.331,1905
0.332,1897
0.333,1905
0.334,1912
0.335,1897
0.336,1915
0.337,1897
0.338,1899
0.339,1901
0.34,1893
0.341,1895
0.342,1900
0.343,1901
0.344,1907
