t,y
0,2542
0.001,2516
0.002,2491
0.003,2501
0.004,2506
0.005,2531
0.006,2513
0.007,2519
0.008,2545
0.009,2512
0.01,2516
0.011,2520
0.012,2521
0.013,2518
0.014,2511
0.015,2515
0.016,2508
0.017,2533
0.018,2507
0.019,2519
0.02,2518
0.021,2520
0.022,2483
0.023,2488
0.024,2489
0.025,2491
0.026,2487
0.027,2485
0.028,2484
0.029,2485
0.03,2495
0.031,2486
0.032,2491
0.033,2492
0.034,2485
0.035,2488
0.036,2489
0.037,2496
0.038,2490
0.039,2499
0.04,2502
0.041,2493
0.042,2485
0.043,2482
0.044,2486
0.045,2487
0.046,2491
0.047,2495
0.048,2503
0.049,2484
0.05,2498
0.051,2496
0.052,2497
0.053,2490
0.054,2493
0.055,2485
0.056,2491
0.057,2489
0.058,2489
0.059,2486
0.06,2491
0.061,2485
0.062,2498
0.063,2485
0.064,2492
0.065,2491
0.066,2493
0.067,2495
0.068,2483
0.069,2489
0.07,2482
0.071,2498
0.072,2502
0.073,2537
0.074,2501
0.075,2494
0.076,2495
0.077,2492
0.078,2491
0.079,2505
0.08,2484
0.081,2509
0.082,2496
0.083,2488
0.084,2483
0.085,2483
0.086,2494
0.087,2492
0.088,2491
0.089,2491
0.09,2496
0.091,2490
0.092,2494
0.093,2491
0.094,2484
0.095,2501
0.096,2486
0.097,2495
0.098,2491
0.099,2483
0.1,2489
0.101,2487
0.102,2493
0.103,2490
0.104,2503
0.105,2505
0.106,2482
0.107,2498
0.108,2483
0.109,2496
0.11,2495
0.111,2493
0.112,2499
0.113,2491
0.114,2484
0.115,2493
0.116,2490
0.117,2494
0.118,2487
0.119,2493
0.12,2494
0.121,2488
0.122,2490
0.123,2485
0.124,2490
0.125,2488
0.126,2486
0.127,2494
0.128,2494
0.129,2489
0.13,2487
0.131,2494
0.132,2482
0.133,2488
0.134,2496
0.135,2488
0.136,2490
0.137,2494
0.138,2489
0.139,2492
0.14,2495
0.141,2494
0.142,2498
0.143,2503
0.144,2480
0.145,2489
0.146,2491
0.147,2492
0.148,2490
0.149,2492
0.15,2501
0.151,2495
0.152,2485
0.153,2481
0.154,2487
0.155,2495
0.156,2486
0.157,2492
0.158,2498
0.159,2488
0.16,2494
0.161,2491
0.162,2498
0.163,2489
0.164,2492
0.165,2491
0.166,2487
0.167,2490
0.168,2497
0.169,2499
0.17,2483
0.171,2483
0.172,2485
0.173,2496
0.174,2492
0.175,2499
0.176,2498
0.177,2493
0.178,2488
0.179,2488
0.18,2497
0.181,2501
0.182,2489
0.183,2497
0.184,2493
0.185,2496
0.186,2480
0.187,2485
0.188,2487
0.189,2487
0.19,2493
0.191,2498
0.192,2490
0.193,2491
0.194,2490
0.195,2482
0.196,2494
0.197,2486
0.198,2497
0.199,2480
0.2,2484
0.201,2493
0.202,2493
0.203,2494
0.204,2490
0.205,2490
0.206,2491
0.207,2493
0.208,2493
0.209,2492
0.21,2479
0.211,2493
0.212,2488
0.213,2497
0.214,2488
0.215,2493
0.216,2490
0.217,2507
0.218,2494
0.219,2484
0.22,2493
0.221,2495
0.222,2495
0.223,2488
0.224,2503
0.225,2486
0.226,2496
0.227,2494
0.228,2500
0.229,2492
0.23,2490
0.231,2497
0.232,2486
0.233,2495
0.234,2493
0.235,2484
0.236,2494
0.237,2486
0.238,2495
0.239,2493
0.24,2486
0.241,2499
0.242,2498
0.243,2488
0.244,2494
0.245,2495
0.246,2483
0.247,2488
0.248,2487
0.249,2483
0.25,2486
0.251,2502
0.252,2487
0.253,2489
0.254,2479
0.255,2486
0.256,2486
0.257,2496
0.258,2487
0.259,2496
0.26,2496
0.261,2495
0.262,2491
0.263,2491
0.264,2490
0.265,2484
0.266,2489
0.267,2481
0.268,2489
0.269,2495
0.27,2503
0.271,2479
0.272,2500
0.273,2488
0.274,2495
0.275,2493
0.276,2497
0.277,2497
0.278,2480
0.279,2494
0.28,2493
0.281,2491
0.282,2483
0.283,2485
0.284,2491
0.285,2514
0.286,2491
0.287,2495
0.288,2491
0.289,2491
0.29,2487
0.291,2482
0.292,2491
0.293,2494
0.294,2499
0.295,2483
0.296,2486
0.297,2492
0.298,2484
0.299,2484
0.3,2488
0.301,2483
0.302,2485
0.303,2487
0.304,2491
0.305,2496
0.306,2488
0.307,2497
0.308,2484
0.309,2488
0.31,2497
0.311,2493
0.312,2487
0.313,2484
0.314,2489
0.315,2500
0.316,2493
0.317,2484
0.318,2498
0.319,2499
0.32,2511
0.321,2486
0.322,2493
0.323,2482
0.324,2490
0.325,2488
0.326,2505
0.327,2502
0.328,2495
0.329,2488
0.33,2497
0.331,2494
0.332,2486
0.333,2488
0.334,2482
0.335,2491
0.336,2486
0.337,2490
0.338,2489
0.339,2495
0.34,2483
0.341,2490
0.342,2493
0.343,2489
0.344,2489
0.345,2494
0.346,2492
0.347,2491
0.348,2490
0.349,2488
0.35,2490
0.351,2484
0.352,2490
0.353,2491
0.354,2483
0.355,2499
0.356,2524
0.357,2493
0.358,2495
0.359,2504
0.36,2494
0.361,2493
0.362,2491
0.363,2488
0.364,2499
0.365,2502
0.366,2484
0.367,2487
0.368,2490
0.369,2481
0.37,2486
0.371,2487
0.372,2492
0.373,2487
0.374,2493
0.375,2499
0.376,2495
0.377,2485
0.378,2494
0.379,2495
0.38,2499
0.381,2480
0.382,2486
0.383,2498
0.384,2482
0.385,2496
0.386,2497
0.387,2484
0.388,2499
0.389,2486
0.39,2511
0.391,2492
0.392,2490
0.393,2486
0.394,2484
0.395,2490
0.396,2495
0.397,2505
0.398,2483
0.399,2495
0.4,2496
0.401,2488
0.402,2489
0.403,2498
0.404,2491
0.405,2481
0.406,2492
0.407,2484
0.408,2490
0.409,2482
0.41,2498
0.411,2486
0.412,2486
0.413,2490
0.414,2489
0.415,2499
0.416,2499
0.417,2490
0.418,2486
0.419,2488
0.42,2487
0.421,2493
0.422,2489
0.423,2498
0.424,2484
0.425,2510
0.426,2487
0.427,2490
0.428,2488
0.429,2501
0.43,2490
0.431,2494
0.432,2501
0.433,2492
0.434,2492
0.435,2498
0.436,2494
0.437,2486
0.438,2493
0.439,2497
0.44,2486
0.441,2486
0.442,2484
0.443,2486
0.444,2483
0.445,2494
0.446,2489
0.447,2491
0.448,2486
0.449,2508
0.45,2497
0.451,2494
0.452,2493
0.453,2486
0.454,2493
0.455,2496
0.456,2486
0.457,2501
0.458,2487
0.459,2482
0.46,2525
0.461,2487
0.462,2494
0.463,2486
0.464,2493
0.465,2492
0.466,2495
0.467,2485
0.468,2495
0.469,2491
0.47,2487
0.471,2494
0.472,2496
0.473,2491
0.474,2495
0.475,2495
0.476,2499
0.477,2486
0.478,2486
0.479,2505
0.48,2492
0.481,2495
0.482,2496
0.483,2498
0.484,2501
0.485,2487
0.486,2497
0.487,2496
0.488,2495
0.489,2493
0.49,2523
0.491,2500
0.492,2488
0.493,2485
0.494,2498
0.495,2486
0.496,2497
0.497,2483
0.498,2485
0.499,2493
0.5,2499
0.501,2495
0.502,2497
0.503,2486
0.504,2485
0.505,2486
0.506,2491
0.507,2503
0.508,2496
0.509,2490
0.51,2491
0.511,2503
0.512,2485
0.513,2495
0.514,2499
0.515,2494
0.516,2499
0.517,2486
0.518,2491
0.519,2495
0.52,2489
0.521,2486
0.522,2494
0.523,2483
0.524,2488
0.525,2515
0.526,2489
0.527,2495
0.528,2487
0.529,2487
0.53,2499
0.531,2500
0.532,2501
0.533,2499
0.534,2491
0.535,2494
0.536,2499
0.537,2483
0.538,2488
0.539,2490
0.54,2491
0.541,2490
0.542,2485
0.543,2494
0.544,2498
0.545,2487
0.546,2486
0.547,2497
0.548,2497
0.549,2493
0.55,2496
0.551,2493
0.552,2494
0.553,2495
0.554,2484
0.555,2498
0.556,2490
0.557,2491
0.558,2491
0.559,2494
0.56,2485
0.561,2488
0.562,2495
0.563,2491
0.564,2504
0.565,2490
0.566,2489
0.567,2493
0.568,2497
0.569,2499
0.57,2492
0.571,2496
0.572,2481
0.573,2496
0.574,2484
0.575,2488
0.576,2493
0.577,2490
0.578,2491
0.579,2487
0.58,2492
0.581,2495
0.582,2489
0.583,2481
0.584,2492
0.585,2487
0.586,2494
0.587,2500
0.588,2490
0.589,2495
0.59,2487
0.591,2493
0.592,2495
0.593,2491
0.594,2496
0.595,2490
0.596,2492
0.597,2484
0.598,2501
0.599,2487
0.6,2524
0.601,2485
0.602,2493
0.603,2492
0.604,2493
0.605,2494
0.606,2504
0.607,2491
0.608,2487
0.609,2489
0.61,2483
0.611,2498
0.612,2488
0.613,2487
0.614,2497
0.615,2492
0.616,2490
0.617,2489
0.618,2490
0.619,2483
0.62,2486
0.621,2501
0.622,2499
0.623,2494
0.624,2501
0.625,2488
0.626,2483
0.627,2490
0.628,2486
0.629,2489
0.63,2494
0.631,2491
0.632,2498
0.633,2485
0.634,2483
0.635,2514
0.636,2494
0.637,2492
0.638,2493
0.639,2485
0.64,2492
0.641,2493
0.642,2495
0.643,2490
0.644,2494
0.645,2485
0.646,2493
0.647,2502
0.648,2495
0.649,2496
0.65,2497
0.651,2488
0.652,2496
0.653,2486
0.654,2486
0.655,2488
0.656,2489
0.657,2500
0.658,2493
0.659,2487
0.66,2489
0.661,2504
0.662,2500
0.663,2487
0.664,2491
0.665,2496
0.666,2500
0.667,2492
0.668,2487
0.669,2485
0.67,2497
0.671,2509
0.672,2482
0.673,2493
0.674,2491
0.675,2488
0.676,2491
0.677,2485
0.678,2487
0.679,2491
0.68,2485
0.681,2486
0.682,2496
0.683,2492
0.684,2482
0.685,2486
0.686,2496
0.687,2482
0.688,2498
0.689,2487
0.69,2486
0.691,2489
0.692,2486
0.693,2482
0.694,2495
0.695,2487
0.696,2484
0.697,2494
0.698,2490
0.699,2495
0.7,2485
0.701,2480
0.702,2493
0.703,2490
0.704,2487
0.705,2487
0.706,2484
0.707,2516
0.708,2489
0.709,2499
0.71,2497
0.711,2488
0.712,2497
0.713,2491
0.714,2487
0.715,2491
0.716,2498
0.717,2491
0.718,2497
0.719,2488
0.72,2484
0.721,2495
0.722,2495
0.723,2498
0.724,2485
0.725,2496
0.726,2486
0.727,2497
0.728,2499
0.729,2486
0.73,2486
0.731,2485
0.732,2495
0.733,2494
0.734,2495
0.735,2487
0.736,2487
0.737,2503
0.738,2489
0.739,2502
0.74,2487
0.741,2505
0.742,2495
0.743,2493
0.744,2499
0.745,2494
0.746,2495
0.747,2491
0.748,2490
0.749,2489
0.75,2486
0.751,2496
0.752,2483
0.753,2487
0.754,2484
0.755,2488
0.756,2497
0.757,2498
0.758,2483
0.759,2494
0.76,2489
0.761,2487
0.762,2482
0.763,2488
0.764,2498
0.765,2483
0.766,2486
0.767,2490
0.768,2484
0.769,2496
0.77,2484
0.771,2481
0.772,2504
0.773,2484
0.774,2501
0.775,2498
0.776,2483
0.777,2495
0.778,2484
0.779,2490
0.78,2494
0.781,2503
0.782,2483
0.783,2495
0.784,2495
0.785,2483
0.786,2491
0.787,2487
0.788,2492
0.789,2496
0.79,2485
0.791,2483
0.792,2481
0.793,2488
0.794,2485
0.795,2494
0.796,2499
0.797,2494
0.798,2497
0.799,2491
0.8,2500
0.801,2489
0.802,2491
0.803,2496
0.804,2488
0.805,2482
0.806,2488
0.807,2485
0.808,2484
0.809,2497
0.81,2491
0.811,2497
0.812,2488
0.813,2492
0.814,2501
0.815,2496
0.816,2519
0.817,2494
0.818,2490
0.819,2494
0.82,2493
0.821,2486
0.822,2485
0.823,2490
0.824,2483
0.825,2503
0.826,2494
0.827,2501
0.828,2499
0.829,2499
0.83,2495
0.831,2489
0.832,2487
0.833,2495
0.834,2493
0.835,2499
0.836,2489
0.837,2491
0.838,2485
0.839,2494
0.84,2490
0.841,2487
0.842,2489
0.843,2488
0.844,2492
0.845,2495
0.846,2492
0.847,2490
0.848,2495
0.849,2487
0.85,2494
0.851,2500
0.852,2501
0.853,2487
0.854,2492
0.855,2487
0.856,2486
0.857,2488
0.858,2492
0.859,2494
0.86,2486
0.861,2487
0.862,2496
0.863,2488
0.864,2494
0.865,2490
0.866,2484
0.867,2503
0.868,2491
0.869,2487
0.87,2496
0.871,2494
0.872,2491
0.873,2487
0.874,2490
0.875,2488
0.876,2490
0.877,2497
0.878,2487
0.879,2479
0.88,2502
0.881,2486
0.882,2497
0.883,2486
0.884,2485
0.885,2498
0.886,2495
0.887,2495
0.888,2512
0.889,2487
0.89,2482
0.891,2494
0.892,2497
0.893,2483
0.894,2502
0.895,2495
0.896,2497
0.897,2496
0.898,2491
0.899,2493
0.9,2483
0.901,2502
0.902,2491
0.903,2496
0.904,2486
0.905,2499
0.906,2485
0.907,2493
0.908,2481
0.909,2487
0.91,2493
0.911,2481
0.912,2485
0.913,2487
0.914,2490
0.915,2490
0.916,2491
0.917,2488
0.918,2499
0.919,2499
0.92,2486
0.921,2490
0.922,2485
0.923,2493
0.924,2496
0.925,2495
0.926,2482
0.927,2515
0.928,2494
0.929,2487
0.93,2488
0.931,2495
0.932,2490
0.933,2490
0.934,2496
0.935,2491
0.936,2487
0.937,2488
0.938,2499
0.939,2491
0.94,2486
0.941,2487
0.942,2495
0.943,2494
0.944,2488
0.945,2496
0.946,2487
0.947,2496
0.948,2486
0.949,2497
0.95,2485
0.951,2488
0.952,2493
0.953,2497
