Distance_mm,Mean_ADC,Vout_ADC
10,4065.57409257409,3.27628681452857
15,4063.97002997003,3.27499416334581
20,2927.48784548785,2.35914771431255
25,2455.42490842491,1.97873069543399
30,2269.84348984349,1.82917790390318
35,2177.82151182151,1.75502099853748
40,2133.79154179154,1.7195389714071
45,2106.48351648352,1.69753250412591
