t,y
0,101
0.001,98
0.002,101
0.003,105
0.004,100
0.005,104
0.006,100
0.007,100
0.008,94
0.009,99
0.01,96
0.011,100
0.012,100
0.013,99
0.014,100
0.015,99
0.016,101
0.017,100
0.018,99
0.019,96
0.02,96
0.021,94
0.022,101
0.023,100
0.024,100
0.025,100
0.026,99
0.027,100
0.028,99
0.029,99
0.03,96
0.031,99
0.032,104
0.033,99
0.034,99
0.035,101
0.036,100
0.037,97
0.038,104
0.039,98
0.04,96
0.041,100
0.042,100
0.043,100
0.044,96
0.045,100
0.046,98
0.047,100
0.048,100
0.049,99
0.05,100
0.051,95
0.052,100
0.053,95
0.054,101
0.055,100
0.056,101
0.057,105
0.058,95
0.059,100
0.06,99
0.061,100
0.062,98
0.063,100
0.064,99
0.065,99
0.066,98
0.067,95
0.068,100
0.069,94
0.07,99
0.071,98
0.072,99
0.073,99
0.074,108
0.075,99
0.076,97
0.077,100
0.078,99
0.079,101
0.08,100
0.081,100
0.082,100
0.083,100
0.084,99
0.085,99
0.086,94
0.087,101
0.088,96
0.089,99
0.09,98
0.091,98
0.092,100
0.093,99
0.094,99
0.095,100
0.096,104
0.097,100
0.098,99
0.099,99
0.1,99
0.101,99
0.102,99
0.103,100
0.104,100
0.105,99
0.106,101
0.107,103
0.108,99
0.109,100
0.11,98
0.111,99
0.112,101
0.113,100
0.114,100
0.115,97
0.116,100
0.117,99
0.118,99
0.119,99
0.12,100
0.121,99
0.122,100
0.123,100
0.124,100
0.125,100
0.126,96
0.127,100
0.128,92
0.129,99
0.13,100
0.131,98
0.132,100
0.133,100
0.134,102
0.135,101
0.136,99
0.137,100
0.138,99
0.139,104
0.14,100
0.141,99
0.142,100
0.143,101
0.144,99
0.145,101
0.146,100
0.147,104
0.148,101
0.149,100
0.15,100
0.151,100
0.152,100
0.153,99
0.154,99
0.155,102
0.156,102
0.157,100
0.158,99
0.159,99
0.16,103
0.161,99
0.162,100
0.163,100
0.164,99
0.165,94
0.166,94
0.167,100
0.168,97
0.169,102
0.17,99
0.171,100
0.172,100
0.173,99
0.174,101
0.175,94
0.176,98
0.177,100
0.178,100
0.179,99
0.18,99
0.181,101
0.182,100
0.183,99
0.184,99
0.185,99
0.186,100
0.187,100
0.188,99
0.189,100
0.19,100
0.191,98
0.192,94
0.193,95
0.194,100
0.195,99
0.196,100
0.197,105
0.198,104
0.199,100
0.2,99
0.201,100
0.202,100
0.203,99
0.204,99
0.205,100
0.206,95
0.207,98
0.208,99
0.209,100
0.21,99
0.211,100
0.212,99
0.213,101
0.214,99
0.215,99
0.216,94
0.217,100
0.218,102
0.219,100
0.22,100
0.221,100
0.222,100
0.223,100
0.224,100
0.225,100
0.226,96
0.227,100
0.228,101
0.229,100
0.23,100
0.231,108
0.232,100
0.233,100
0.234,99
0.235,100
