t_s,ADC_mean
0,2528
0.001,2501.33333333333
0.002,2478.66666666667
0.003,2484.66666666667
0.004,2496.66666666667
0.005,2523
0.006,2492.33333333333
0.007,2496.66666666667
0.008,2515
0.009,2498.66666666667
0.01,2506
0.011,2505.33333333333
0.012,2508.66666666667
0.013,2504
0.014,2498.66666666667
0.015,2501.33333333333
0.016,2501.33333333333
0.017,2507
0.018,2493.33333333333
0.019,2508.33333333333
0.02,2504.33333333333
0.021,2505
0.022,2479.33333333333
0.023,2484.33333333333
0.024,2484.66666666667
0.025,2488
0.026,2484.33333333333
0.027,2475
0.028,2471.66666666667
0.029,2472
0.03,2478.33333333333
0.031,2475.33333333333
0.032,2478.66666666667
0.033,2478.66666666667
0.034,2475.66666666667
0.035,2476.66666666667
0.036,2480.33333333333
0.037,2484
0.038,2480.33333333333
0.039,2484
0.04,2483.66666666667
0.041,2481
0.042,2473
0.043,2472.33333333333
0.044,2475
0.045,2475.33333333333
0.046,2478
0.047,2479
0.048,2487.66666666667
0.049,2471.66666666667
0.05,2484.33333333333
0.051,2483.66666666667
0.052,2481.66666666667
0.053,2478.66666666667
0.054,2480.33333333333
0.055,2473.66666666667
0.056,2479
0.057,2479.33333333333
0.058,2476.66666666667
0.059,2477
0.06,2479
0.061,2473.66666666667
0.062,2487.66666666667
0.063,2485
0.064,2476
0.065,2477.33333333333
0.066,2480.33333333333
0.067,2482
0.068,2474.66666666667
0.069,2477.66666666667
0.07,2472.33333333333
0.071,2485
0.072,2483.33333333333
0.073,2508.33333333333
0.074,2486.66666666667
0.075,2483.33333333333
0.076,2483
0.077,2479.66666666667
0.078,2482
0.079,2487.66666666667
0.08,2478
0.081,2490
0.082,2479.33333333333
0.083,2477.33333333333
0.084,2471.33333333333
0.085,2473.66666666667
0.086,2483
0.087,2476.66666666667
0.088,2475
0.089,2477
0.09,2480.33333333333
0.091,2481
0.092,2482
0.093,2479.33333333333
0.094,2476.33333333333
0.095,2493.66666666667
0.096,2475
0.097,2482
0.098,2479.33333333333
0.099,2471.33333333333
0.1,2477.66666666667
0.101,2472
0.102,2481.66666666667
0.103,2478.33333333333
0.104,2484.66666666667
0.105,2485.66666666667
0.106,2472.66666666667
0.107,2482.66666666667
0.108,2470.66666666667
0.109,2481.33333333333
0.11,2479
0.111,2481
0.112,2481.33333333333
0.113,2478
0.114,2476.66666666667
0.115,2479.66666666667
0.116,2480
0.117,2483
0.118,2472.66666666667
0.119,2481.33333333333
0.12,2477.33333333333
0.121,2473.66666666667
0.122,2475.33333333333
0.123,2474.66666666667
0.124,2478.66666666667
0.125,2473.66666666667
0.126,2473.66666666667
0.127,2478
0.128,2479.66666666667
0.129,2473.66666666667
0.13,2474.66666666667
0.131,2482
0.132,2478.33333333333
0.133,2474
0.134,2484
0.135,2480
0.136,2476.66666666667
0.137,2479.33333333333
0.138,2480.33333333333
0.139,2477.66666666667
0.14,2478.66666666667
0.141,2483
0.142,2484.33333333333
0.143,2485.66666666667
0.144,2470
0.145,2478.33333333333
0.146,2481.33333333333
0.147,2477
0.148,2477
0.149,2482
0.15,2487.66666666667
0.151,2480.33333333333
0.152,2473
0.153,2470
0.154,2476
0.155,2480.66666666667
0.156,2477
0.157,2478
0.158,2482
0.159,2478.66666666667
0.16,2483.33333333333
0.161,2480
0.162,2482
0.163,2476.66666666667
0.164,2481.33333333333
0.165,2478.66666666667
0.166,2474.33333333333
0.167,2478
0.168,2490
0.169,2484
0.17,2475
0.171,2471
0.172,2474.33333333333
0.173,2480.33333333333
0.174,2478
0.175,2481
0.176,2483.33333333333
0.177,2482.33333333333
0.178,2474.33333333333
0.179,2479
0.18,2485.33333333333
0.181,2483.66666666667
0.182,2477
0.183,2483
0.184,2480.66666666667
0.185,2479.66666666667
0.186,2469.33333333333
0.187,2478.33333333333
0.188,2473
0.189,2478.66666666667
0.19,2480
0.191,2485.33333333333
0.192,2476
0.193,2478
0.194,2477
0.195,2473
0.196,2482.33333333333
0.197,2475
0.198,2481.33333333333
0.199,2472.66666666667
0.2,2474
0.201,2483.33333333333
0.202,2482
0.203,2480
0.204,2479
0.205,2483.33333333333
0.206,2475.66666666667
0.207,2479
0.208,2479.66666666667
0.209,2480.33333333333
0.21,2470
0.211,2480.33333333333
0.212,2477
0.213,2481
0.214,2479
0.215,2477.66666666667
0.216,2476.66666666667
0.217,2489.66666666667
0.218,2479.66666666667
0.219,2472.66666666667
0.22,2480.66666666667
0.221,2482.66666666667
0.222,2481.66666666667
0.223,2476.33333333333
0.224,2489
0.225,2475
0.226,2483.33333333333
0.227,2479
0.228,2483.66666666667
0.229,2480.33333333333
0.23,2481
0.231,2482
0.232,2476
0.233,2481
0.234,2481.33333333333
0.235,2474.66666666667
0.236,2478.66666666667
0.237,2476
0.238,2481.33333333333
0.239,2480.33333333333
0.24,2476.66666666667
0.241,2481.33333333333
0.242,2483.33333333333
0.243,2479.33333333333
0.244,2479.66666666667
0.245,2477.66666666667
0.246,2471
0.247,2475.33333333333
0.248,2477.33333333333
0.249,2475.33333333333
0.25,2476
0.251,2483.66666666667
0.252,2477.33333333333
0.253,2477.66666666667
0.254,2468.66666666667
0.255,2476
0.256,2470.66666666667
0.257,2481.66666666667
0.258,2477.66666666667
