t_s,ADC_mean
0,2233.66666666667
0.001,2205.66666666667
0.002,2200
0.003,2207.33333333333
0.004,2208
0.005,2213.33333333333
0.006,2200.33333333333
0.007,2226
0.008,2216.66666666667
0.009,2184.66666666667
0.01,2203.33333333333
0.011,2207.33333333333
0.012,2212
0.013,2213
0.014,2204.66666666667
0.015,2210.33333333333
0.016,2209.33333333333
0.017,2220.66666666667
0.018,2220.33333333333
0.019,2212.66666666667
0.02,2204
0.021,2201
0.022,2191
0.023,2182
0.024,2186
0.025,2185.33333333333
0.026,2186.66666666667
0.027,2181.66666666667
0.028,2181
0.029,2184.66666666667
0.03,2180.33333333333
0.031,2184.66666666667
0.032,2188
0.033,2189
0.034,2184.33333333333
0.035,2183.33333333333
0.036,2182.33333333333
0.037,2185.33333333333
0.038,2186.33333333333
0.039,2179.33333333333
0.04,2193
0.041,2185.66666666667
0.042,2182.33333333333
0.043,2183.33333333333
0.044,2183
0.045,2186.33333333333
0.046,2183.33333333333
0.047,2194.33333333333
0.048,2184.66666666667
0.049,2183.33333333333
0.05,2183
0.051,2182
0.052,2185.33333333333
0.053,2191
0.054,2181
0.055,2183.66666666667
0.056,2187
0.057,2183
0.058,2190
0.059,2186
0.06,2188.33333333333
0.061,2187.66666666667
0.062,2185.33333333333
0.063,2188.66666666667
0.064,2185.66666666667
0.065,2179.66666666667
0.066,2184.66666666667
0.067,2185.33333333333
0.068,2190.66666666667
0.069,2185
0.07,2189
0.071,2189.33333333333
0.072,2181.33333333333
0.073,2182.33333333333
0.074,2185
0.075,2185.66666666667
0.076,2182.66666666667
0.077,2183.33333333333
0.078,2186.66666666667
0.079,2184
0.08,2188.66666666667
0.081,2180
0.082,2196.33333333333
0.083,2184.33333333333
0.084,2195.66666666667
0.085,2188.66666666667
0.086,2188
0.087,2180.33333333333
0.088,2182.66666666667
0.089,2188.66666666667
0.09,2182.66666666667
0.091,2196.66666666667
0.092,2182
0.093,2187.66666666667
0.094,2185.33333333333
0.095,2185.33333333333
0.096,2184.33333333333
0.097,2189.66666666667
0.098,2186.33333333333
0.099,2182
0.1,2188.33333333333
0.101,2179
0.102,2183.66666666667
0.103,2182.33333333333
0.104,2191
0.105,2189.66666666667
0.106,2184.33333333333
0.107,2183.66666666667
0.108,2189
0.109,2183.66666666667
0.11,2179
0.111,2186.66666666667
0.112,2183
0.113,2193.66666666667
0.114,2180.33333333333
0.115,2186
0.116,2190
0.117,2184.33333333333
0.118,2190
0.119,2186
0.12,2186.66666666667
0.121,2184.66666666667
0.122,2184.33333333333
0.123,2188.66666666667
0.124,2185
0.125,2178
0.126,2185.33333333333
0.127,2187.33333333333
0.128,2186
0.129,2185.66666666667
0.13,2179
0.131,2186.33333333333
0.132,2181.66666666667
0.133,2186.33333333333
0.134,2186
0.135,2183.33333333333
0.136,2185
0.137,2185.33333333333
0.138,2181
0.139,2182
0.14,2181.66666666667
0.141,2187
0.142,2188.33333333333
0.143,2191.33333333333
0.144,2187
0.145,2179.33333333333
0.146,2188
0.147,2192
0.148,2186.33333333333
0.149,2179.66666666667
0.15,2184
0.151,2193
0.152,2182.66666666667
0.153,2191.66666666667
0.154,2185.66666666667
0.155,2180
0.156,2184.33333333333
0.157,2189
0.158,2197.33333333333
0.159,2181.66666666667
0.16,2183.66666666667
0.161,2183
0.162,2182.33333333333
0.163,2184.66666666667
0.164,2186
0.165,2181.33333333333
0.166,2182.66666666667
0.167,2188.66666666667
0.168,2188
0.169,2182.66666666667
0.17,2190.66666666667
0.171,2182
0.172,2185.33333333333
0.173,2181.66666666667
0.174,2182.33333333333
0.175,2187
0.176,2188.33333333333
0.177,2185.66666666667
0.178,2183.66666666667
0.179,2181.33333333333
0.18,2184
0.181,2186
0.182,2179.33333333333
0.183,2188.66666666667
0.184,2185
0.185,2188.66666666667
0.186,2185
0.187,2185.33333333333
0.188,2197
0.189,2185.33333333333
0.19,2191
0.191,2186.66666666667
0.192,2184.33333333333
0.193,2180.66666666667
0.194,2193.66666666667
0.195,2184.66666666667
0.196,2194.66666666667
0.197,2181.33333333333
0.198,2185
0.199,2182.33333333333
0.2,2182.33333333333
0.201,2183
0.202,2185.66666666667
0.203,2184
0.204,2181.66666666667
0.205,2187
0.206,2181.33333333333
0.207,2189
0.208,2183.66666666667
0.209,2183
0.21,2185.66666666667
0.211,2183.33333333333
0.212,2181.66666666667
0.213,2184.66666666667
0.214,2182
0.215,2179.66666666667
0.216,2184
0.217,2184.66666666667
0.218,2185.66666666667
0.219,2183.66666666667
0.22,2187.33333333333
0.221,2182.33333333333
0.222,2177.66666666667
0.223,2183.66666666667
0.224,2190
0.225,2183.66666666667
0.226,2179.33333333333
0.227,2183.33333333333
0.228,2180.66666666667
0.229,2186
0.23,2190
0.231,2186.33333333333
0.232,2185.66666666667
0.233,2187
0.234,2190.66666666667
0.235,2183.66666666667
0.236,2185.66666666667
0.237,2189.66666666667
0.238,2186.33333333333
0.239,2183.33333333333
0.24,2183.33333333333
0.241,2191.33333333333
0.242,2184.33333333333
0.243,2187.33333333333
0.244,2190
0.245,2182.33333333333
0.246,2182.33333333333
0.247,2178
0.248,2183
0.249,2179.66666666667
0.25,2185.66666666667
0.251,2184.66666666667
0.252,2184
0.253,2185
0.254,2188
0.255,2183.66666666667
0.256,2183
0.257,2183.66666666667
0.258,2185.33333333333
0.259,2178.33333333333
0.26,2192.66666666667
0.261,2192.33333333333
0.262,2182.66666666667
0.263,2183
0.264,2187
0.265,2183
0.266,2189.33333333333
0.267,2191.33333333333
0.268,2184.66666666667
0.269,2184.33333333333
0.27,2195
0.271,2180
0.272,2189.33333333333
0.273,2180.33333333333
0.274,2179.33333333333
0.275,2183
0.276,2183
0.277,2188.66666666667
0.278,2188.66666666667
0.279,2185.66666666667
0.28,2188.66666666667
0.281,2184.33333333333
0.282,2185.33333333333
0.283,2188.66666666667
0.284,2178.66666666667
0.285,2184
0.286,2185
0.287,2187
0.288,2183.66666666667
0.289,2187
0.29,2182.66666666667
0.291,2183.66666666667
0.292,2187.33333333333
0.293,2188
0.294,2185.66666666667
0.295,2178.33333333333
0.296,2184.33333333333
0.297,2192.33333333333
0.298,2188.66666666667
0.299,2187.66666666667
0.3,2182.66666666667
0.301,2182.66666666667
0.302,2187
0.303,2185.66666666667
0.304,2195.66666666667
0.305,2186.33333333333
0.306,2189.33333333333
0.307,2185.66666666667
0.308,2184
0.309,2184.66666666667
0.31,2185
0.311,2183
0.312,2185
0.313,2183.33333333333
0.314,2184
0.315,2182
0.316,2185
0.317,2185
0.318,2182.66666666667
0.319,2185.33333333333
0.32,2190.33333333333
0.321,2186
0.322,2182
0.323,2188
0.324,2188.66666666667
0.325,2184.33333333333
0.326,2182
0.327,2185.33333333333
0.328,2184.66666666667
0.329,2183.33333333333
0.33,2183
0.331,2184.33333333333
0.332,2181.33333333333
0.333,2184
0.334,2186
0.335,2186
0.336,2185.33333333333
0.337,2191.66666666667
0.338,2182.66666666667
0.339,2183
0.34,2184.66666666667
0.341,2180.66666666667
0.342,2183.33333333333
0.343,2183.33333333333
0.344,2183.66666666667
0.345,2188
0.346,2187
0.347,2189
0.348,2183.33333333333
0.349,2180.33333333333
0.35,2189.66666666667
0.351,2176.66666666667
0.352,2183
0.353,2184.66666666667
0.354,2183.33333333333
0.355,2183.33333333333
0.356,2182.33333333333
0.357,2186.66666666667
0.358,2182
0.359,2181
0.36,2186.33333333333
0.361,2189.66666666667
0.362,2187.33333333333
0.363,2183.66666666667
0.364,2183.33333333333
0.365,2183.33333333333
0.366,2187
0.367,2183.66666666667
0.368,2182.66666666667
0.369,2187
0.37,2183.66666666667
0.371,2187.33333333333
0.372,2186.33333333333
0.373,2185
0.374,2188
0.375,2193.33333333333
0.376,2187
0.377,2184.66666666667
0.378,2184.66666666667
0.379,2187.66666666667
0.38,2182
0.381,2184
0.382,2181
0.383,2180.66666666667
0.384,2191.33333333333
0.385,2183
0.386,2193.33333333333
0.387,2182.33333333333
0.388,2185
0.389,2187
0.39,2191
0.391,2180.66666666667
0.392,2183.33333333333
0.393,2187.66666666667
0.394,2182.33333333333
0.395,2183.66666666667
0.396,2180.66666666667
0.397,2186
0.398,2188
0.399,2186.33333333333
0.4,2182.33333333333
0.401,2188
0.402,2190.66666666667
0.403,2189
