Distance_mm,Mean_ADC,Vout_ADC
10,4065.11588411588,3.27591756229119
15,4065.7982017982,3.27646741536851
20,3013.40925740926,2.42838841256424
25,2479.8961038961,1.99845107273679
30,2271.86346986347,1.8308057266299
35,2185.62670662671,1.7613108991131
40,2138.84681984682,1.72361282185458
45,2107.54945054945,1.69839149861128
