t,y
0,2155
0.001,2137
0.002,2104
0.003,2130
0.004,2094
0.005,2096
0.006,2103
0.007,2109
0.008,2108
0.009,2102
0.01,2099
0.011,2110
0.012,2110
0.013,2113
0.014,2110
0.015,2108
0.016,2115
0.017,2105
0.018,2097
0.019,2091
0.02,2104
0.021,2156
0.022,2101
0.023,2108
0.024,2103
0.025,2104
0.026,2100
0.027,2103
0.028,2102
0.029,2113
0.03,2103
0.031,2113
0.032,2100
0.033,2108
0.034,2103
0.035,2109
0.036,2117
0.037,2110
0.038,2107
0.039,2113
0.04,2103
0.041,2111
0.042,2098
0.043,2107
0.044,2109
0.045,2098
0.046,2107
0.047,2110
0.048,2100
0.049,2107
0.05,2109
0.051,2101
0.052,2116
0.053,2102
0.054,2102
0.055,2109
0.056,2161
0.057,2106
0.058,2101
0.059,2113
0.06,2101
0.061,2102
0.062,2105
0.063,2105
0.064,2110
0.065,2108
0.066,2107
0.067,2106
0.068,2097
0.069,2116
0.07,2107
0.071,2110
0.072,2110
0.073,2106
0.074,2107
0.075,2107
0.076,2114
0.077,2109
0.078,2112
0.079,2105
0.08,2111
0.081,2103
0.082,2112
0.083,2111
0.084,2097
0.085,2110
0.086,2101
0.087,2119
0.088,2150
0.089,2106
0.09,2100
0.091,2105
0.092,2101
0.093,2114
0.094,2098
0.095,2114
0.096,2107
0.097,2107
0.098,2111
0.099,2110
0.1,2113
0.101,2112
0.102,2099
0.103,2099
0.104,2094
0.105,2110
0.106,2100
0.107,2111
0.108,2109
0.109,2108
0.11,2099
0.111,2105
0.112,2100
0.113,2117
0.114,2113
0.115,2102
0.116,2112
0.117,2111
0.118,2104
0.119,2112
0.12,2098
0.121,2155
0.122,2111
0.123,2104
0.124,2118
0.125,2109
0.126,2108
0.127,2116
0.128,2103
0.129,2100
0.13,2111
0.131,2108
0.132,2109
0.133,2112
0.134,2100
0.135,2110
0.136,2097
0.137,2103
0.138,2100
0.139,2114
0.14,2107
0.141,2098
0.142,2108
0.143,2094
0.144,2111
0.145,2100
0.146,2114
0.147,2115
0.148,2106
0.149,2109
0.15,2102
0.151,2101
0.152,2102
0.153,2111
0.154,2120
0.155,2137
0.156,2108
0.157,2104
0.158,2109
0.159,2108
0.16,2103
0.161,2102
0.162,2103
0.163,2113
0.164,2101
0.165,2106
0.166,2109
0.167,2107
0.168,2108
0.169,2108
0.17,2112
0.171,2102
0.172,2101
0.173,2101
0.174,2112
0.175,2109
0.176,2100
0.177,2111
0.178,2111
0.179,2107
0.18,2109
0.181,2109
0.182,2114
0.183,2102
0.184,2100
0.185,2111
0.186,2119
0.187,2151
0.188,2116
0.189,2100
0.19,2091
0.191,2109
0.192,2099
0.193,2100
0.194,2104
0.195,2108
0.196,2109
0.197,2112
0.198,2099
0.199,2103
0.2,2100
0.201,2110
0.202,2105
0.203,2102
0.204,2116
0.205,2103
0.206,2116
0.207,2103
0.208,2102
0.209,2103
0.21,2099
0.211,2108
0.212,2103
0.213,2108
0.214,2108
0.215,2105
0.216,2110
0.217,2108
0.218,2101
0.219,2147
0.22,2100
0.221,2105
0.222,2110
0.223,2103
0.224,2115
0.225,2093
0.226,2102
0.227,2106
0.228,2100
0.229,2108
0.23,2109
0.231,2099
0.232,2114
0.233,2098
0.234,2112
0.235,2119
0.236,2112
0.237,2101
0.238,2106
0.239,2104
0.24,2118
0.241,2102
0.242,2107
0.243,2110
0.244,2114
0.245,2109
0.246,2117
0.247,2112
0.248,2096
0.249,2113
0.25,2103
0.251,2112
0.252,2138
0.253,2108
0.254,2111
0.255,2109
0.256,2111
0.257,2109
0.258,2101
0.259,2110
0.26,2113
0.261,2107
0.262,2109
0.263,2097
0.264,2100
0.265,2105
0.266,2100
0.267,2099
0.268,2096
0.269,2106
0.27,2107
0.271,2106
0.272,2106
0.273,2109
0.274,2101
0.275,2101
0.276,2107
0.277,2101
0.278,2112
0.279,2116
0.28,2110
0.281,2105
0.282,2103
0.283,2101
0.284,2108
0.285,2146
0.286,2100
0.287,2111
0.288,2100
0.289,2097
0.29,2109
0.291,2113
0.292,2106
0.293,2110
0.294,2108
0.295,2107
0.296,2114
0.297,2107
0.298,2104
0.299,2107
0.3,2102
0.301,2107
0.302,2095
0.303,2114
0.304,2110
0.305,2115
0.306,2101
0.307,2112
0.308,2112
0.309,2108
0.31,2108
0.311,2112
0.312,2104
0.313,2098
0.314,2112
0.315,2108
0.316,2108
0.317,2107
0.318,2135
0.319,2113
0.32,2094
0.321,2115
0.322,2109
0.323,2107
0.324,2104
0.325,2116
0.326,2096
