t,y
0,2504
0.001,2500
0.002,2454
0.003,2447
0.004,2456
0.005,2460
0.006,2460
0.007,2450
0.008,2459
0.009,2451
0.01,2448
0.011,2452
0.012,2452
0.013,2446
0.014,2454
0.015,2457
0.016,2448
0.017,2451
0.018,2455
0.019,2447
0.02,2448
0.021,2450
0.022,2456
0.023,2453
0.024,2447
0.025,2451
0.026,2447
0.027,2457
0.028,2457
0.029,2458
0.03,2454
0.031,2449
0.032,2445
0.033,2450
0.034,2454
0.035,2495
0.036,2453
0.037,2456
0.038,2450
0.039,2449
0.04,2447
0.041,2451
0.042,2454
0.043,2455
0.044,2450
0.045,2450
0.046,2463
0.047,2459
0.048,2456
0.049,2463
0.05,2455
0.051,2456
0.052,2456
0.053,2451
0.054,2444
0.055,2458
0.056,2451
0.057,2449
0.058,2448
0.059,2446
0.06,2466
0.061,2451
0.062,2448
0.063,2459
0.064,2446
0.065,2445
0.066,2463
0.067,2447
0.068,2445
0.069,2493
0.07,2450
0.071,2455
0.072,2445
0.073,2459
0.074,2453
0.075,2451
0.076,2451
0.077,2462
0.078,2461
0.079,2458
0.08,2463
0.081,2450
0.082,2456
0.083,2450
0.084,2451
0.085,2451
0.086,2443
0.087,2450
0.088,2459
0.089,2447
0.09,2455
0.091,2458
0.092,2444
0.093,2445
0.094,2454
0.095,2461
0.096,2457
0.097,2463
0.098,2452
0.099,2449
0.1,2444
0.101,2453
0.102,2450
0.103,2460
0.104,2452
0.105,2491
0.106,2456
0.107,2450
0.108,2455
0.109,2454
0.11,2458
0.111,2449
0.112,2461
0.113,2449
0.114,2456
0.115,2450
0.116,2452
0.117,2444
0.118,2456
0.119,2454
0.12,2457
0.121,2449
0.122,2448
0.123,2452
0.124,2444
0.125,2456
0.126,2466
0.127,2458
0.128,2455
0.129,2466
0.13,2448
0.131,2448
0.132,2451
0.133,2465
0.134,2461
0.135,2470
0.136,2452
0.137,2488
0.138,2454
0.139,2461
0.14,2446
0.141,2450
0.142,2458
0.143,2457
0.144,2443
0.145,2461
0.146,2457
0.147,2456
0.148,2452
0.149,2457
0.15,2460
0.151,2451
0.152,2456
0.153,2455
0.154,2457
0.155,2456
0.156,2441
0.157,2458
0.158,2463
0.159,2454
0.16,2458
0.161,2458
0.162,2453
0.163,2453
0.164,2460
0.165,2451
0.166,2455
0.167,2447
0.168,2458
0.169,2451
0.17,2459
0.171,2505
0.172,2471
0.173,2452
0.174,2455
0.175,2447
0.176,2461
0.177,2472
0.178,2460
0.179,2446
0.18,2460
0.181,2451
0.182,2461
0.183,2449
0.184,2449
0.185,2464
0.186,2465
0.187,2465
0.188,2460
0.189,2449
0.19,2455
0.191,2454
0.192,2449
0.193,2448
0.194,2450
0.195,2463
0.196,2452
0.197,2460
0.198,2495
0.199,2466
0.2,2456
0.201,2446
0.202,2451
0.203,2450
0.204,2455
0.205,2453
0.206,2460
0.207,2456
0.208,2450
0.209,2450
0.21,2459
0.211,2451
0.212,2462
0.213,2448
0.214,2455
0.215,2452
0.216,2459
0.217,2454
0.218,2459
0.219,2461
0.22,2453
0.221,2455
0.222,2459
0.223,2457
0.224,2453
0.225,2452
0.226,2454
0.227,2451
0.228,2461
0.229,2465
0.23,2442
0.231,2450
0.232,2512
0.233,2464
0.234,2448
0.235,2458
0.236,2445
0.237,2461
0.238,2450
0.239,2453
0.24,2449
0.241,2454
0.242,2462
0.243,2452
0.244,2462
0.245,2453
0.246,2450
0.247,2458
0.248,2458
0.249,2452
0.25,2458
0.251,2455
0.252,2445
0.253,2458
0.254,2441
0.255,2458
0.256,2451
0.257,2460
0.258,2459
0.259,2459
0.26,2456
0.261,2456
0.262,2451
0.263,2454
0.264,2488
0.265,2454
0.266,2447
0.267,2459
0.268,2456
0.269,2460
0.27,2451
0.271,2459
0.272,2452
0.273,2454
0.274,2449
0.275,2451
0.276,2455
0.277,2455
0.278,2455
0.279,2459
0.28,2452
0.281,2454
0.282,2450
0.283,2453
0.284,2458
0.285,2458
0.286,2456
0.287,2446
0.288,2460
0.289,2447
0.29,2451
0.291,2455
0.292,2454
0.293,2459
0.294,2464
0.295,2451
0.296,2450
0.297,2485
0.298,2452
0.299,2458
0.3,2459
0.301,2445
0.302,2449
0.303,2465
0.304,2457
0.305,2460
0.306,2458
0.307,2458
0.308,2453
0.309,2462
0.31,2457
0.311,2450
0.312,2460
0.313,2458
0.314,2451
0.315,2460
0.316,2447
0.317,2456
0.318,2458
0.319,2455
0.32,2456
0.321,2459
0.322,2457
0.323,2455
0.324,2449
0.325,2460
0.326,2454
0.327,2447
0.328,2493
0.329,2461
0.33,2440
0.331,2464
0.332,2459
0.333,2454
0.334,2460
0.335,2456
0.336,2456
0.337,2455
0.338,2457
0.339,2447
0.34,2460
0.341,2450
0.342,2448
0.343,2446
0.344,2459
0.345,2458
0.346,2453
0.347,2464
0.348,2461
0.349,2455
0.35,2463
0.351,2462
0.352,2454
0.353,2451
0.354,2454
0.355,2453
0.356,2462
0.357,2456
0.358,2459
0.359,2459
0.36,2458
0.361,2496
0.362,2447
0.363,2448
0.364,2458
0.365,2459
0.366,2464
0.367,2451
0.368,2457
0.369,2450
0.37,2463
0.371,2457
0.372,2457
0.373,2455
0.374,2464
0.375,2465
0.376,2463
0.377,2450
0.378,2451
0.379,2462
0.38,2455
0.381,2450
0.382,2459
0.383,2454
0.384,2459
0.385,2461
0.386,2451
0.387,2449
0.388,2450
0.389,2446
0.39,2445
0.391,2492
0.392,2455
0.393,2456
0.394,2462
0.395,2451
0.396,2452
0.397,2446
0.398,2443
0.399,2457
0.4,2449
0.401,2442
0.402,2454
0.403,2454
0.404,2446
0.405,2452
0.406,2463
0.407,2455
0.408,2456
0.409,2444
0.41,2453
0.411,2447
0.412,2461
0.413,2459
0.414,2450
0.415,2460
0.416,2460
0.417,2447
0.418,2447
0.419,2462
0.42,2453
0.421,2452
0.422,2449
0.423,2508
0.424,2451
0.425,2454
0.426,2454
0.427,2450
0.428,2461
0.429,2456
0.43,2455
0.431,2457
0.432,2442
0.433,2451
0.434,2460
0.435,2459
0.436,2452
0.437,2464
0.438,2458
0.439,2450
0.44,2456
0.441,2457
0.442,2449
0.443,2452
0.444,2468
0.445,2455
0.446,2450
0.447,2453
0.448,2455
0.449,2451
0.45,2448
0.451,2462
0.452,2448
0.453,2453
0.454,2488
0.455,2452
0.456,2459
0.457,2454
0.458,2467
0.459,2459
0.46,2451
0.461,2463
0.462,2453
0.463,2449
0.464,2454
0.465,2455
0.466,2448
0.467,2447
0.468,2451
0.469,2449
0.47,2457
0.471,2444
0.472,2460
0.473,2441
0.474,2458
0.475,2451
0.476,2458
0.477,2454
0.478,2456
0.479,2449
0.48,2450
0.481,2450
0.482,2457
0.483,2446
0.484,2460
0.485,2450
0.486,2456
0.487,2495
0.488,2467
0.489,2447
0.49,2451
0.491,2459
0.492,2452
0.493,2464
0.494,2447
0.495,2453
0.496,2452
0.497,2459
0.498,2449
0.499,2461
0.5,2450
0.501,2455
0.502,2457
0.503,2459
0.504,2453
0.505,2450
0.506,2451
0.507,2454
0.508,2451
0.509,2460
0.51,2453
0.511,2446
0.512,2462
0.513,2454
0.514,2456
0.515,2463
0.516,2457
0.517,2459
0.518,2508
0.519,2455
0.52,2447
0.521,2443
0.522,2457
0.523,2448
0.524,2460
0.525,2449
0.526,2456
0.527,2461
0.528,2455
0.529,2461
0.53,2462
0.531,2455
0.532,2461
0.533,2463
0.534,2459
0.535,2461
0.536,2457
0.537,2458
0.538,2456
0.539,2461
0.54,2454
0.541,2449
0.542,2458
0.543,2454
0.544,2449
0.545,2445
0.546,2461
0.547,2460
0.548,2491
0.549,2460
0.55,2450
0.551,2460
0.552,2450
0.553,2458
0.554,2460
0.555,2478
0.556,2453
0.557,2457
0.558,2462
0.559,2455
0.56,2460
0.561,2452
0.562,2456
0.563,2452
0.564,2456
0.565,2447
0.566,2448
0.567,2447
0.568,2457
0.569,2449
0.57,2451
0.571,2455
0.572,2458
0.573,2449
0.574,2448
0.575,2459
0.576,2455
0.577,2506
0.578,2449
0.579,2450
0.58,2459
0.581,2464
0.582,2456
0.583,2445
0.584,2456
0.585,2462
0.586,2451
0.587,2454
0.588,2448
0.589,2451
0.59,2452
0.591,2458
0.592,2451
0.593,2446
0.594,2457
0.595,2448
0.596,2456
0.597,2450
0.598,2455
0.599,2444
0.6,2459
0.601,2459
0.602,2451
0.603,2455
0.604,2449
0.605,2455
0.606,2456
0.607,2459
0.608,2499
0.609,2455
0.61,2459
0.611,2454
0.612,2457
0.613,2444
0.614,2461
0.615,2446
0.616,2450
0.617,2453
0.618,2464
0.619,2457
0.62,2449
0.621,2454
0.622,2450
0.623,2463
0.624,2458
0.625,2457
0.626,2451
0.627,2450
0.628,2459
0.629,2449
0.63,2455
0.631,2459
0.632,2458
0.633,2448
0.634,2461
0.635,2453
0.636,2449
0.637,2451
0.638,2445
0.639,2444
0.64,2450
0.641,2507
0.642,2455
0.643,2452
0.644,2448
0.645,2463
0.646,2453
0.647,2448
0.648,2449
0.649,2452
0.65,2455
0.651,2453
0.652,2446
0.653,2462
0.654,2455
0.655,2456
0.656,2459
0.657,2463
0.658,2456
0.659,2463
0.66,2445
0.661,2447
0.662,2447
0.663,2461
0.664,2445
0.665,2451
0.666,2458
0.667,2450
0.668,2446
0.669,2455
0.67,2453
0.671,2453
0.672,2459
0.673,2455
0.674,2499
0.675,2444
0.676,2448
0.677,2444
0.678,2446
0.679,2458
0.68,2449
0.681,2460
0.682,2455
0.683,2443
0.684,2459
0.685,2456
0.686,2450
0.687,2450
0.688,2454
0.689,2457
0.69,2459
0.691,2457
0.692,2453
0.693,2447
0.694,2455
0.695,2452
0.696,2446
0.697,2451
0.698,2462
0.699,2444
0.7,2449
0.701,2464
0.702,2458
0.703,2447
0.704,2452
0.705,2453
0.706,2447
0.707,2453
0.708,2455
0.709,2505
0.71,2463
0.711,2450
0.712,2447
0.713,2449
0.714,2459
0.715,2448
0.716,2453
0.717,2459
0.718,2460
0.719,2445
0.72,2455
0.721,2443
0.722,2462
0.723,2448
0.724,2451
0.725,2454
0.726,2456
0.727,2452
0.728,2445
0.729,2447
0.73,2459
0.731,2447
0.732,2451
0.733,2451
0.734,2455
0.735,2457
0.736,2458
0.737,2457
0.738,2454
0.739,2456
0.74,2460
0.741,2450
0.742,2500
0.743,2454
0.744,2455
0.745,2457
0.746,2448
0.747,2462
0.748,2459
0.749,2445
0.75,2446
0.751,2457
0.752,2458
0.753,2455
0.754,2458
0.755,2453
0.756,2449
0.757,2455
0.758,2456
0.759,2448
0.76,2451
0.761,2453
0.762,2456
0.763,2457
0.764,2450
0.765,2455
0.766,2455
0.767,2446
0.768,2457
0.769,2457
0.77,2455
0.771,2448
0.772,2459
0.773,2448
0.774,2447
0.775,2464
0.776,2489
0.777,2452
0.778,2450
0.779,2457
0.78,2453
0.781,2447
0.782,2461
0.783,2449
0.784,2457
0.785,2457
0.786,2450
0.787,2456
0.788,2451
0.789,2455
0.79,2449
0.791,2460
0.792,2458
0.793,2458
0.794,2464
0.795,2449
0.796,2460
0.797,2458
0.798,2466
0.799,2460
0.8,2458
0.801,2465
0.802,2462
0.803,2454
0.804,2453
0.805,2456
0.806,2448
0.807,2505
0.808,2451
0.809,2462
0.81,2460
0.811,2445
0.812,2454
0.813,2456
0.814,2451
0.815,2454
0.816,2448
0.817,2454
0.818,2456
0.819,2454
0.82,2449
0.821,2458
0.822,2459
0.823,2450
0.824,2464
0.825,2464
0.826,2459
0.827,2450
0.828,2449
0.829,2449
0.83,2452
0.831,2454
0.832,2460
0.833,2458
0.834,2460
0.835,2463
0.836,2455
0.837,2454
0.838,2458
0.839,2455
0.84,2446
0.841,2491
0.842,2462
0.843,2459
0.844,2450
0.845,2455
0.846,2459
0.847,2456
0.848,2441
0.849,2461
0.85,2453
0.851,2452
0.852,2469
0.853,2467
0.854,2457
0.855,2457
0.856,2449
0.857,2459
0.858,2455
0.859,2440
0.86,2450
0.861,2457
0.862,2453
0.863,2450
0.864,2454
0.865,2460
0.866,2457
0.867,2447
0.868,2446
0.869,2452
0.87,2447
0.871,2454
0.872,2448
0.873,2455
0.874,2449
0.875,2488
0.876,2448
0.877,2457
0.878,2445
0.879,2457
0.88,2450
0.881,2448
0.882,2455
0.883,2454
0.884,2458
0.885,2452
0.886,2457
0.887,2446
0.888,2450
0.889,2461
0.89,2458
0.891,2456
0.892,2456
0.893,2447
0.894,2453
0.895,2455
0.896,2452
0.897,2445
0.898,2454
0.899,2456
0.9,2462
0.901,2443
0.902,2443
0.903,2455
0.904,2458
0.905,2447
0.906,2457
