t,y
0,2223
0.001,2208
0.002,2172
0.003,2216
0.004,2223
0.005,2168
0.006,2169
0.007,2176
0.008,2182
0.009,2171
0.01,2172
0.011,2176
0.012,2170
0.013,2185
0.014,2176
0.015,2172
0.016,2179
0.017,2177
0.018,2177
0.019,2179
0.02,2178
0.021,2182
0.022,2165
0.023,2172
0.024,2175
0.025,2164
0.026,2170
0.027,2182
0.028,2169
0.029,2171
0.03,2183
0.031,2165
0.032,2186
0.033,2164
0.034,2175
0.035,2180
0.036,2218
0.037,2179
0.038,2182
0.039,2174
0.04,2172
0.041,2171
0.042,2168
0.043,2173
0.044,2173
0.045,2178
0.046,2165
0.047,2165
0.048,2187
0.049,2171
0.05,2172
0.051,2172
0.052,2176
0.053,2168
0.054,2171
0.055,2172
0.056,2182
0.057,2179
0.058,2176
0.059,2176
0.06,2168
0.061,2184
0.062,2176
0.063,2176
0.064,2181
0.065,2178
0.066,2169
0.067,2170
0.068,2220
0.069,2176
0.07,2170
0.071,2176
0.072,2172
0.073,2166
0.074,2165
0.075,2176
0.076,2169
0.077,2180
0.078,2163
0.079,2172
0.08,2175
0.081,2172
0.082,2183
0.083,2170
0.084,2177
0.085,2167
0.086,2176
0.087,2171
0.088,2171
0.089,2176
0.09,2177
0.091,2173
0.092,2182
0.093,2176
0.094,2170
0.095,2171
0.096,2183
0.097,2177
0.098,2168
0.099,2176
0.1,2170
0.101,2170
0.102,2167
0.103,2176
0.104,2198
0.105,2176
0.106,2177
0.107,2173
0.108,2180
0.109,2169
0.11,2177
0.111,2166
0.112,2171
0.113,2180
0.114,2162
0.115,2179
0.116,2162
0.117,2167
0.118,2164
0.119,2177
0.12,2169
0.121,2179
0.122,2169
0.123,2177
0.124,2181
0.125,2182
0.126,2184
0.127,2181
0.128,2178
0.129,2172
0.13,2169
0.131,2178
0.132,2166
0.133,2173
0.134,2165
0.135,2183
0.136,2176
0.137,2173
0.138,2208
0.139,2162
0.14,2177
0.141,2177
0.142,2168
0.143,2166
0.144,2172
0.145,2162
0.146,2177
0.147,2178
0.148,2175
0.149,2173
0.15,2182
0.151,2178
0.152,2169
0.153,2176
0.154,2170
0.155,2180
0.156,2180
0.157,2174
0.158,2184
0.159,2171
0.16,2164
0.161,2180
0.162,2172
0.163,2180
0.164,2178
0.165,2173
0.166,2180
0.167,2176
0.168,2178
0.169,2168
0.17,2181
0.171,2209
0.172,2178
0.173,2168
0.174,2173
0.175,2179
0.176,2168
0.177,2168
0.178,2173
0.179,2179
0.18,2171
0.181,2168
0.182,2179
0.183,2167
0.184,2178
0.185,2171
0.186,2163
0.187,2170
0.188,2179
0.189,2179
0.19,2168
0.191,2180
0.192,2179
0.193,2169
0.194,2178
0.195,2183
0.196,2171
0.197,2176
0.198,2172
0.199,2176
0.2,2166
0.201,2171
0.202,2182
0.203,2180
0.204,2166
0.205,2202
0.206,2179
0.207,2170
0.208,2177
0.209,2175
0.21,2171
0.211,2181
0.212,2178
0.213,2173
0.214,2166
0.215,2169
0.216,2181
0.217,2171
0.218,2177
0.219,2181
0.22,2176
0.221,2176
0.222,2175
0.223,2164
0.224,2167
0.225,2167
0.226,2169
0.227,2176
0.228,2164
0.229,2168
0.23,2186
0.231,2176
0.232,2173
0.233,2166
0.234,2167
0.235,2166
0.236,2166
0.237,2167
0.238,2181
0.239,2219
0.24,2170
0.241,2183
0.242,2179
0.243,2173
0.244,2176
0.245,2171
0.246,2169
0.247,2183
0.248,2172
0.249,2173
0.25,2175
0.251,2180
0.252,2169
0.253,2169
0.254,2169
0.255,2172
0.256,2173
0.257,2173
0.258,2178
0.259,2182
0.26,2175
0.261,2167
0.262,2172
0.263,2178
0.264,2177
0.265,2164
0.266,2178
0.267,2172
0.268,2176
0.269,2177
0.27,2175
0.271,2167
0.272,2230
0.273,2170
0.274,2164
0.275,2180
0.276,2179
0.277,2176
0.278,2174
0.279,2168
0.28,2173
0.281,2178
0.282,2171
0.283,2172
0.284,2178
0.285,2169
0.286,2174
0.287,2173
0.288,2174
0.289,2176
0.29,2179
0.291,2178
0.292,2175
0.293,2176
0.294,2177
0.295,2165
0.296,2170
0.297,2184
0.298,2179
0.299,2174
0.3,2176
0.301,2174
0.302,2176
0.303,2178
0.304,2180
0.305,2173
0.306,2167
0.307,2168
0.308,2210
0.309,2174
0.31,2180
0.311,2169
0.312,2169
0.313,2178
0.314,2176
0.315,2164
0.316,2163
0.317,2178
0.318,2171
0.319,2179
0.32,2177
0.321,2186
0.322,2184
0.323,2177
0.324,2172
0.325,2164
0.326,2170
0.327,2165
0.328,2166
0.329,2176
0.33,2171
0.331,2184
0.332,2170
0.333,2183
0.334,2172
0.335,2175
0.336,2167
0.337,2194
0.338,2184
0.339,2212
0.34,2184
0.341,2167
0.342,2175
0.343,2176
0.344,2163
0.345,2187
0.346,2171
0.347,2174
0.348,2181
0.349,2166
0.35,2163
0.351,2168
0.352,2170
0.353,2179
0.354,2175
0.355,2176
0.356,2168
0.357,2177
0.358,2182
0.359,2181
0.36,2176
0.361,2176
0.362,2182
0.363,2170
0.364,2182
0.365,2176
0.366,2170
0.367,2168
0.368,2176
0.369,2166
0.37,2174
0.371,2176
0.372,2164
0.373,2176
0.374,2212
0.375,2175
0.376,2166
0.377,2173
0.378,2176
0.379,2177
0.38,2177
0.381,2179
0.382,2176
0.383,2170
0.384,2174
0.385,2176
0.386,2171
0.387,2171
0.388,2160
0.389,2180
0.39,2169
0.391,2170
0.392,2176
0.393,2171
0.394,2169
0.395,2170
0.396,2178
0.397,2173
0.398,2173
0.399,2179
0.4,2168
0.401,2173
0.402,2173
0.403,2170
0.404,2178
0.405,2169
0.406,2165
0.407,2169
0.408,2224
0.409,2182
0.41,2174
0.411,2167
0.412,2167
0.413,2181
0.414,2164
0.415,2171
0.416,2179
0.417,2177
0.418,2164
0.419,2178
0.42,2182
0.421,2174
0.422,2172
0.423,2169
0.424,2178
0.425,2173
0.426,2180
0.427,2176
0.428,2177
0.429,2175
0.43,2170
0.431,2160
0.432,2180
0.433,2173
0.434,2165
0.435,2175
0.436,2178
0.437,2180
0.438,2168
0.439,2165
0.44,2178
0.441,2221
0.442,2173
0.443,2179
0.444,2171
0.445,2174
0.446,2172
0.447,2177
0.448,2173
0.449,2165
0.45,2171
0.451,2173
0.452,2179
0.453,2166
0.454,2171
0.455,2167
0.456,2175
0.457,2168
0.458,2169
0.459,2166
0.46,2164
0.461,2170
0.462,2166
0.463,2167
0.464,2178
0.465,2176
0.466,2168
0.467,2165
0.468,2166
0.469,2168
0.47,2178
0.471,2176
0.472,2161
0.473,2171
0.474,2229
0.475,2174
0.476,2173
0.477,2178
0.478,2177
0.479,2178
0.48,2168
0.481,2164
0.482,2180
0.483,2178
0.484,2179
0.485,2170
0.486,2170
0.487,2174
0.488,2169
0.489,2174
0.49,2167
0.491,2178
0.492,2171
0.493,2184
0.494,2170
0.495,2175
0.496,2170
0.497,2174
0.498,2165
0.499,2177
0.5,2172
0.501,2177
0.502,2173
0.503,2168
0.504,2177
0.505,2177
0.506,2176
0.507,2179
0.508,2182
0.509,2221
0.51,2172
0.511,2167
0.512,2176
0.513,2169
0.514,2174
0.515,2178
0.516,2173
0.517,2169
0.518,2172
0.519,2177
0.52,2185
0.521,2172
0.522,2170
0.523,2168
0.524,2180
0.525,2171
0.526,2166
0.527,2176
0.528,2186
0.529,2181
0.53,2181
0.531,2168
0.532,2170
0.533,2176
0.534,2187
0.535,2176
0.536,2175
0.537,2178
0.538,2179
0.539,2165
0.54,2173
0.541,2169
0.542,2226
0.543,2174
0.544,2176
0.545,2171
0.546,2180
0.547,2169
0.548,2167
0.549,2177
0.55,2170
0.551,2186
0.552,2169
0.553,2172
0.554,2174
0.555,2183
0.556,2174
0.557,2166
0.558,2177
0.559,2176
0.56,2180
0.561,2166
0.562,2177
0.563,2168
0.564,2176
0.565,2185
0.566,2171
0.567,2176
0.568,2172
0.569,2168
0.57,2167
0.571,2174
0.572,2169
0.573,2184
0.574,2233
0.575,2182
0.576,2175
0.577,2174
0.578,2175
0.579,2171
0.58,2173
0.581,2170
0.582,2185
0.583,2179
0.584,2171
0.585,2177
0.586,2167
0.587,2174
0.588,2173
0.589,2176
0.59,2173
0.591,2178
0.592,2177
0.593,2171
0.594,2164
0.595,2181
0.596,2175
0.597,2175
0.598,2176
0.599,2178
0.6,2171
0.601,2182
0.602,2176
0.603,2188
0.604,2170
0.605,2175
0.606,2222
0.607,2167
0.608,2177
0.609,2173
0.61,2173
0.611,2176
0.612,2168
0.613,2172
0.614,2179
0.615,2178
0.616,2169
0.617,2183
0.618,2168
0.619,2171
0.62,2183
0.621,2181
0.622,2187
0.623,2172
0.624,2173
0.625,2179
0.626,2167
0.627,2171
0.628,2178
0.629,2176
0.63,2179
0.631,2181
0.632,2173
0.633,2171
0.634,2177
0.635,2168
0.636,2167
0.637,2177
0.638,2174
0.639,2210
0.64,2186
0.641,2176
0.642,2174
0.643,2184
0.644,2166
0.645,2182
0.646,2194
0.647,2172
0.648,2182
0.649,2166
0.65,2185
