t_s,ADC_mean
0,2073.33333333333
0.001,2039.33333333333
0.002,2040
0.003,2043.33333333333
0.004,2043.66666666667
0.005,2047
0.006,2035.66666666667
0.007,2044.66666666667
0.008,2045
0.009,2046
0.01,2029.33333333333
0.011,2053
0.012,2038
0.013,2042.66666666667
0.014,2046.33333333333
0.015,2035
0.016,2054
0.017,2044.66666666667
0.018,2036.33333333333
0.019,2050.66666666667
0.02,2038.33333333333
0.021,2044
0.022,2053.33333333333
0.023,2027.33333333333
0.024,2053
0.025,2026.66666666667
0.026,2040
0.027,2051.66666666667
0.028,2023
0.029,2049.33333333333
0.03,2035
0.031,2047
0.032,2028
0.033,2054.66666666667
0.034,2021.33333333333
0.035,2051.33333333333
0.036,2031.66666666667
0.037,2052
0.038,2030.33333333333
0.039,2049
0.04,2025.33333333333
0.041,2046.66666666667
0.042,2037
0.043,2046
0.044,2044.66666666667
0.045,2031
0.046,2036
0.047,2043.66666666667
0.048,2035
0.049,2047.66666666667
0.05,2037.66666666667
0.051,2047.66666666667
0.052,2042
0.053,2040.66666666667
0.054,2029
0.055,2037
0.056,2045.66666666667
0.057,2038.66666666667
0.058,2035.33333333333
0.059,2036
0.06,2046.66666666667
0.061,2043
0.062,2024
0.063,2049.66666666667
0.064,2021.33333333333
0.065,2041.33333333333
0.066,2042.66666666667
0.067,2031.33333333333
0.068,2042.66666666667
0.069,2030
0.07,2041.66666666667
0.071,2030.33333333333
0.072,2041.66666666667
0.073,2046.33333333333
0.074,2035.33333333333
0.075,2043.66666666667
0.076,2034.33333333333
0.077,2041.33333333333
0.078,2038.33333333333
0.079,2045.33333333333
0.08,2043.66666666667
0.081,2030.66666666667
0.082,2037.33333333333
0.083,2041.33333333333
0.084,2031.66666666667
0.085,2036.33333333333
0.086,2040
0.087,2041
0.088,2024.66666666667
0.089,2044.66666666667
0.09,2040.33333333333
0.091,2042
0.092,2031.33333333333
0.093,2041.33333333333
0.094,2029
0.095,2035.66666666667
0.096,2033.33333333333
0.097,2050
0.098,2030.66666666667
0.099,2037
0.1,2036
0.101,2038.66666666667
0.102,2034.33333333333
0.103,2040.66666666667
0.104,2036
0.105,2042.66666666667
0.106,2034.33333333333
0.107,2044.66666666667
0.108,2032.33333333333
0.109,2042.66666666667
0.11,2034.33333333333
0.111,2038.33333333333
0.112,2050.33333333333
0.113,2024.66666666667
0.114,2045
0.115,2033.66666666667
0.116,2047.66666666667
0.117,2035.33333333333
0.118,2050.66666666667
0.119,2030
0.12,2046.66666666667
0.121,2035.66666666667
0.122,2045.33333333333
0.123,2034.66666666667
0.124,2035
0.125,2036
0.126,2038.33333333333
0.127,2045
0.128,2027
0.129,2047.33333333333
0.13,2026.66666666667
0.131,2046
0.132,2037
0.133,2038.66666666667
0.134,2039.66666666667
0.135,2025
0.136,2051.33333333333
0.137,2019
0.138,2048
0.139,2026.33333333333
0.14,2048.66666666667
0.141,2030
0.142,2042.33333333333
0.143,2049.66666666667
0.144,2025.66666666667
0.145,2046
0.146,2028.66666666667
0.147,2049.33333333333
0.148,2022
0.149,2048.33333333333
0.15,2026.33333333333
0.151,2052.66666666667
0.152,2013.33333333333
0.153,2050.66666666667
0.154,2027.66666666667
0.155,2035.33333333333
0.156,2035
0.157,2035.66666666667
0.158,2049
0.159,2023
0.16,2053.66666666667
0.161,2025
0.162,2045.66666666667
0.163,2037.66666666667
0.164,2024
0.165,2042.66666666667
0.166,2050
0.167,2029
0.168,2046.33333333333
0.169,2035.33333333333
0.17,2049
0.171,2025.66666666667
0.172,2045.33333333333
0.173,2031.66666666667
0.174,2042
0.175,2051.66666666667
0.176,2022
0.177,2047
0.178,2036.66666666667
0.179,2042.33333333333
0.18,2043
0.181,2023.33333333333
0.182,2049.66666666667
0.183,2024.33333333333
0.184,2044.66666666667
0.185,2044.33333333333
0.186,2033.33333333333
0.187,2041.33333333333
0.188,2031.66666666667
0.189,2041.66666666667
0.19,2043
0.191,2050.66666666667
0.192,2028
0.193,2048
0.194,2027.33333333333
0.195,2049.66666666667
0.196,2028
0.197,2035
0.198,2037.33333333333
0.199,2035.33333333333
0.2,2038.33333333333
0.201,2029
0.202,2043
0.203,2037.66666666667
0.204,2041
0.205,2036
0.206,2036.33333333333
0.207,2039.33333333333
0.208,2035.33333333333
0.209,2034
0.21,2050.33333333333
0.211,2025.33333333333
0.212,2049.33333333333
0.213,2040
0.214,2036.66666666667
0.215,2032.66666666667
0.216,2033
0.217,2048.33333333333
0.218,2026.33333333333
0.219,2049
0.22,2027.66666666667
0.221,2047.66666666667
0.222,2029.33333333333
0.223,2042
0.224,2024.66666666667
0.225,2052
0.226,2040.66666666667
0.227,2037.33333333333
0.228,2042.33333333333
0.229,2038.33333333333
0.23,2039
0.231,2052.66666666667
0.232,2029
0.233,2052
0.234,2024
0.235,2047
0.236,2041.66666666667
0.237,2036.33333333333
0.238,2054.33333333333
0.239,2014.33333333333
0.24,2049.33333333333
0.241,2029
0.242,2054
0.243,2029.33333333333
0.244,2049.66666666667
0.245,2032
0.246,2037
0.247,2038.33333333333
0.248,2031.66666666667
0.249,2043
0.25,2038.33333333333
0.251,2049
0.252,2031
0.253,2029.66666666667
0.254,2047.66666666667
0.255,2037.33333333333
0.256,2039.66666666667
0.257,2037
0.258,2038.66666666667
0.259,2049.33333333333
0.26,2035
0.261,2042.33333333333
0.262,2031.33333333333
0.263,2048
0.264,2040.66666666667
0.265,2036
0.266,2038
0.267,2040.33333333333
0.268,2037.33333333333
0.269,2044.33333333333
0.27,2047.33333333333
0.271,2034.66666666667
0.272,2042.66666666667
0.273,2048.66666666667
0.274,2025.66666666667
0.275,2052.33333333333
0.276,2017
0.277,2048.33333333333
0.278,2029
0.279,2039.66666666667
0.28,2048
0.281,2036.33333333333
0.282,2053
0.283,2029.66666666667
0.284,2050.33333333333
0.285,2033.66666666667
0.286,2050.33333333333
0.287,2031.66666666667
0.288,2051.33333333333
0.289,2019.33333333333
0.29,2045.66666666667
0.291,2035.66666666667
0.292,2042
0.293,2037.66666666667
0.294,2043.66666666667
0.295,2033.33333333333
0.296,2039.33333333333
0.297,2035
0.298,2042.66666666667
0.299,2031.66666666667
0.3,2048.33333333333
0.301,2025.66666666667
0.302,2047.66666666667
