t_s,ADC_mean
0.395,2105
0.396,2120
0.397,2104.5
0.398,2103.5
0.399,2108
0.4,2106.5
0.401,2106
0.402,2103.5
0.403,2102
0.404,2106.5
0.405,2102.5
0.406,2105.5
0.407,2099.5
0.408,2105
0.409,2110
0.41,2102
0.411,2102.5
0.412,2105.5
0.413,2103.5
0.414,2107.5
0.415,2102
0.416,2104
0.417,2109.5
0.418,2108
0.419,2100.5
0.42,2133
0.421,2104.5
0.422,2105
0.423,2105.5
0.424,2108
0.425,2104.5
0.426,2104
0.427,2100
0.428,2105.5
0.429,2101
0.43,2104.5
0.431,2105.5
0.432,2107.5
0.433,2099.5
0.434,2126.5
0.435,2107.5
0.436,2106
0.437,2106.5
0.438,2111
0.439,2109
0.44,2099
0.441,2106
0.442,2098
0.443,2107
0.444,2107.5
0.445,2111.5
0.446,2110.5
0.447,2102.5
0.448,2107
0.449,2103.5
0.45,2106
0.451,2107.5
0.452,2133
0.453,2105.5
0.454,2100.5
0.455,2106
0.456,2106
0.457,2109.5
0.458,2108.5
0.459,2095.5
0.46,2108.5
0.461,2102
0.462,2106
0.463,2111
0.464,2116
0.465,2103.5
0.466,2105
0.467,2108
0.468,2100.5
0.469,2106
0.47,2119.5
0.471,2104
0.472,2105
0.473,2101
0.474,2102.5
0.475,2106
0.476,2098
0.477,2100.5
0.478,2105.5
0.479,2105
0.48,2106
0.481,2103
0.482,2109.5
0.483,2112.5
0.484,2125.5
0.485,2109
0.486,2107
0.487,2094.5
0.488,2112.5
0.489,2103.5
0.49,2106
0.491,2106
0.492,2097
0.493,2107
0.494,2105.5
0.495,2105.5
0.496,2100
0.497,2102
0.498,2109.5
0.499,2109.5
0.5,2107
0.501,2101
0.502,2106
0.503,2109.5
0.504,2107
0.505,2096.5
0.506,2102.5
0.507,2107
0.508,2128
0.509,2110
0.51,2106
0.511,2102.5
0.512,2104
0.513,2108.5
0.514,2105
0.515,2107
0.516,2110.5
0.517,2110.5
0.518,2127
0.519,2112.5
0.52,2106
0.521,2104.5
0.522,2108
0.523,2102
0.524,2099.5
0.525,2109
0.526,2103
0.527,2105.5
0.528,2097.5
0.529,2110.5
0.53,2105
0.531,2103.5
0.532,2103
0.533,2107
0.534,2110
0.535,2100.5
0.536,2108
0.537,2106.5
0.538,2105
0.539,2107
0.54,2105
0.541,2100.5
0.542,2102
0.543,2105
0.544,2111
0.545,2122.5
0.546,2104.5
0.547,2112.5
0.548,2105.5
0.549,2126.5
0.55,2103
0.551,2105
0.552,2106.5
0.553,2113
0.554,2110
0.555,2104
0.556,2101.5
0.557,2098
0.558,2102
0.559,2115
0.56,2102.5
0.561,2103.5
0.562,2110
0.563,2109
0.564,2104
0.565,2105.5
0.566,2106
0.567,2112
0.568,2113
0.569,2101
0.57,2106
0.571,2112
0.572,2103
0.573,2105.5
0.574,2106.5
0.575,2110.5
0.576,2101
0.577,2101.5
0.578,2107.5
0.579,2105.5
0.58,2108.5
0.581,2125
0.582,2127
0.583,2102.5
0.584,2104
0.585,2102
0.586,2105.5
0.587,2107
0.588,2110.5
0.589,2108.5
0.59,2112
0.591,2100
0.592,2105
0.593,2110
0.594,2111
0.595,2102
0.596,2105
0.597,2102.5
0.598,2096
0.599,2112
0.6,2108.5
0.601,2105.5
0.602,2102.5
0.603,2110
0.604,2095
0.605,2110.5
0.606,2109
0.607,2105
0.608,2109
0.609,2097.5
0.61,2098
0.611,2101
0.612,2104
0.613,2098.5
0.614,2124.5
0.615,2104.5
0.616,2128.5
0.617,2110.5
0.618,2108
0.619,2109
0.62,2107.5
0.621,2106.5
0.622,2108.5
0.623,2100.5
0.624,2101.5
0.625,2104.5
0.626,2106
0.627,2097
0.628,2108.5
0.629,2105
0.63,2098
0.631,2100
0.632,2104
0.633,2107.5
0.634,2100
0.635,2102
0.636,2099
0.637,2105.5
0.638,2103
0.639,2111
0.64,2100
0.641,2102.5
0.642,2101.5
0.643,2105
0.644,2101
0.645,2110
0.646,2101
0.647,2107
0.648,2104
0.649,2122.5
0.65,2103.5
0.651,2102.5
0.652,2106
0.653,2116
0.654,2103.5
0.655,2105
0.656,2111
