t_s,ADC_mean
0,4063.66666666667
0.001,4062.66666666667
0.002,4064
0.003,4064.33333333333
0.004,4064
0.005,4063
0.006,4064.33333333333
0.007,4064
0.008,4063.33333333333
0.009,4063.33333333333
0.01,4064
0.011,4062
0.012,4063.66666666667
0.013,4064
0.014,4063.66666666667
0.015,4064
0.016,4064
0.017,4066
0.018,4064.33333333333
0.019,4062.33333333333
0.02,4066
0.021,4064
0.022,4065.33333333333
0.023,4065
0.024,4066.33333333333
0.025,4064.66666666667
0.026,4064
0.027,4064
0.028,4065
0.029,4063.66666666667
0.03,4062.33333333333
0.031,4064
0.032,4063.66666666667
0.033,4063.66666666667
0.034,4063.66666666667
0.035,4063.66666666667
0.036,4064
0.037,4064.33333333333
0.038,4065.33333333333
0.039,4063.66666666667
0.04,4063.33333333333
0.041,4064.66666666667
0.042,4064.66666666667
0.043,4064.66666666667
0.044,4065.33333333333
0.045,4065
0.046,4062.33333333333
0.047,4063.66666666667
0.048,4062
0.049,4063.66666666667
0.05,4062.66666666667
0.051,4062.66666666667
0.052,4063
0.053,4063.66666666667
0.054,4064
0.055,4064.33333333333
0.056,4063.33333333333
0.057,4063.33333333333
0.058,4064.33333333333
0.059,4062.33333333333
0.06,4067
0.061,4062.66666666667
0.062,4064.33333333333
0.063,4063.66666666667
0.064,4065
0.065,4064.33333333333
0.066,4062.33333333333
0.067,4066.66666666667
0.068,4064.33333333333
0.069,4062
0.07,4063.33333333333
0.071,4064
0.072,4065
0.073,4064.66666666667
0.074,4063
0.075,4064
0.076,4064.33333333333
0.077,4064.33333333333
0.078,4063.66666666667
0.079,4064.66666666667
0.08,4065.66666666667
0.081,4065
0.082,4064
0.083,4061.33333333333
0.084,4063
0.085,4064.66666666667
0.086,4062.33333333333
0.087,4065
0.088,4063.66666666667
0.089,4064
0.09,4064
0.091,4064
0.092,4062.33333333333
0.093,4064.33333333333
0.094,4064
0.095,4063.66666666667
0.096,4063
0.097,4065
0.098,4063.66666666667
0.099,4064
0.1,4065.33333333333
0.101,4062.33333333333
0.102,4064.33333333333
0.103,4064.33333333333
0.104,4064.33333333333
0.105,4064
0.106,4063.66666666667
0.107,4063.66666666667
0.108,4064.33333333333
0.109,4063.66666666667
0.11,4064
0.111,4063.33333333333
0.112,4064
0.113,4065
0.114,4064
0.115,4065.66666666667
0.116,4064
0.117,4062.33333333333
0.118,4063.66666666667
0.119,4066
0.12,4064.66666666667
0.121,4065
0.122,4064.33333333333
0.123,4063.66666666667
0.124,4065.66666666667
0.125,4063.66666666667
0.126,4062.66666666667
0.127,4062
0.128,4064.66666666667
0.129,4064
0.13,4064
0.131,4064.33333333333
0.132,4067
