t_s,ADC_mean
0,2507.66666666667
0.001,2492.33333333333
0.002,2467
0.003,2462.33333333333
0.004,2453.33333333333
0.005,2458.33333333333
0.006,2452
0.007,2454
0.008,2457
0.009,2452.66666666667
0.01,2449.66666666667
0.011,2451
0.012,2455.66666666667
0.013,2453
0.014,2471
0.015,2457.66666666667
0.016,2458
0.017,2450.66666666667
0.018,2451.66666666667
0.019,2451
0.02,2452.33333333333
0.021,2453
0.022,2451.33333333333
0.023,2473
0.024,2454.33333333333
0.025,2455.33333333333
0.026,2451.33333333333
0.027,2452.33333333333
0.028,2451
0.029,2454.33333333333
0.03,2457
0.031,2454.33333333333
0.032,2448.66666666667
0.033,2452.33333333333
0.034,2457.33333333333
0.035,2464.66666666667
0.036,2452.33333333333
0.037,2456.66666666667
0.038,2450.66666666667
0.039,2456
0.04,2451.66666666667
0.041,2454.66666666667
0.042,2455
0.043,2449
0.044,2456.66666666667
0.045,2454
0.046,2457.33333333333
0.047,2456.66666666667
0.048,2453
0.049,2457.66666666667
0.05,2452.66666666667
0.051,2456
0.052,2453.66666666667
0.053,2459
0.054,2458.66666666667
0.055,2456.66666666667
0.056,2452.33333333333
0.057,2453
0.058,2453
0.059,2456.33333333333
0.06,2454.66666666667
0.061,2469.66666666667
0.062,2450.33333333333
0.063,2455.66666666667
0.064,2456
0.065,2452.33333333333
0.066,2457.66666666667
0.067,2455
0.068,2448.66666666667
0.069,2466.33333333333
0.07,2451.33333333333
0.071,2455.33333333333
0.072,2451.66666666667
0.073,2452.66666666667
0.074,2458.33333333333
0.075,2453.33333333333
0.076,2453
0.077,2452
0.078,2457.33333333333
0.079,2456.33333333333
0.08,2456
0.081,2452.66666666667
0.082,2454
0.083,2451.33333333333
0.084,2449.33333333333
0.085,2454.33333333333
0.086,2449.66666666667
0.087,2451.66666666667
0.088,2453.33333333333
0.089,2448.33333333333
0.09,2457.66666666667
0.091,2470.33333333333
0.092,2445
0.093,2448
0.094,2452.33333333333
0.095,2460.33333333333
0.096,2450.33333333333
0.097,2456.33333333333
0.098,2453
0.099,2450
0.1,2464.33333333333
