t,y
0,1102
0.001,1088
0.002,1082
0.003,1087
0.004,1083
0.005,1087
0.006,1089
0.007,1088
0.008,1082
0.009,1087
0.01,1082
0.011,1099
0.012,1091
0.013,1084
0.014,1091
0.015,1082
0.016,1085
0.017,1087
0.018,1080
0.019,1087
0.02,1083
0.021,1091
0.022,1083
0.023,1082
0.024,1083
0.025,1081
0.026,1086
0.027,1088
0.028,1078
0.029,1082
0.03,1082
0.031,1082
0.032,1088
0.033,1086
0.034,1091
0.035,1079
0.036,1089
0.037,1094
0.038,1089
0.039,1088
0.04,1086
0.041,1082
0.042,1088
0.043,1077
0.044,1083
0.045,1089
0.046,1089
0.047,1091
0.048,1079
0.049,1088
0.05,1088
0.051,1087
0.052,1079
0.053,1078
0.054,1083
0.055,1083
0.056,1089
0.057,1087
0.058,1093
0.059,1076
0.06,1096
0.061,1090
0.062,1078
0.063,1081
0.064,1081
0.065,1084
0.066,1087
0.067,1083
0.068,1073
0.069,1083
0.07,1082
0.071,1087
0.072,1078
0.073,1087
0.074,1087
0.075,1091
0.076,1092
0.077,1072
0.078,1089
0.079,1076
0.08,1089
0.081,1088
0.082,1078
0.083,1086
0.084,1087
0.085,1079
0.086,1093
0.087,1085
0.088,1081
0.089,1091
0.09,1076
0.091,1087
0.092,1074
0.093,1090
0.094,1087
0.095,1087
0.096,1088
0.097,1085
0.098,1084
0.099,1084
0.1,1081
0.101,1083
0.102,1077
0.103,1086
0.104,1083
0.105,1088
0.106,1088
0.107,1082
0.108,1085
0.109,1084
0.11,1084
0.111,1090
0.112,1088
0.113,1092
0.114,1085
0.115,1086
0.116,1089
0.117,1090
0.118,1089
0.119,1073
0.12,1078
0.121,1086
0.122,1085
0.123,1080
0.124,1078
0.125,1079
0.126,1082
0.127,1087
0.128,1073
0.129,1084
0.13,1072
0.131,1082
0.132,1076
0.133,1077
0.134,1086
0.135,1077
0.136,1088
0.137,1088
0.138,1079
0.139,1087
0.14,1086
0.141,1092
0.142,1088
0.143,1091
0.144,1088
0.145,1082
0.146,1092
0.147,1088
0.148,1093
0.149,1082
0.15,1081
0.151,1092
0.152,1082
0.153,1079
0.154,1077
0.155,1086
0.156,1079
0.157,1082
0.158,1090
0.159,1082
0.16,1082
0.161,1081
0.162,1084
0.163,1077
0.164,1088
0.165,1081
0.166,1083
0.167,1082
0.168,1086
0.169,1081
0.17,1088
0.171,1083
0.172,1078
0.173,1083
0.174,1085
0.175,1084
0.176,1089
0.177,1094
0.178,1088
0.179,1088
0.18,1086
0.181,1079
0.182,1086
0.183,1076
0.184,1084
0.185,1082
0.186,1082
0.187,1089
0.188,1079
0.189,1076
0.19,1087
0.191,1087
0.192,1088
0.193,1093
0.194,1080
0.195,1073
0.196,1092
0.197,1091
0.198,1083
0.199,1089
0.2,1079
0.201,1074
0.202,1087
0.203,1079
0.204,1070
0.205,1078
0.206,1074
0.207,1088
0.208,1080
0.209,1079
0.21,1084
0.211,1077
0.212,1082
0.213,1092
0.214,1086
0.215,1084
0.216,1085
0.217,1079
0.218,1082
0.219,1092
0.22,1087
0.221,1086
0.222,1078
0.223,1079
0.224,1097
0.225,1078
0.226,1076
0.227,1076
0.228,1084
0.229,1082
0.23,1083
0.231,1086
0.232,1086
0.233,1087
0.234,1077
0.235,1072
0.236,1080
0.237,1078
0.238,1073
0.239,1084
0.24,1081
0.241,1083
0.242,1081
0.243,1083
0.244,1078
0.245,1077
0.246,1075
0.247,1083
0.248,1087
0.249,1088
0.25,1074
0.251,1080
0.252,1077
0.253,1087
0.254,1084
0.255,1086
0.256,1088
0.257,1086
0.258,1084
0.259,1078
0.26,1084
0.261,1077
0.262,1087
0.263,1078
0.264,1087
0.265,1076
0.266,1093
0.267,1083
0.268,1090
0.269,1081
0.27,1079
0.271,1085
0.272,1073
0.273,1080
0.274,1086
0.275,1087
0.276,1083
0.277,1083
0.278,1073
0.279,1088
0.28,1093
0.281,1077
0.282,1079
0.283,1078
0.284,1077
0.285,1080
0.286,1088
0.287,1075
0.288,1085
0.289,1083
0.29,1070
0.291,1085
0.292,1075
0.293,1078
0.294,1077
0.295,1075
0.296,1085
0.297,1088
0.298,1082
0.299,1076
0.3,1077
0.301,1088
0.302,1081
0.303,1095
0.304,1089
0.305,1076
0.306,1070
0.307,1078
0.308,1080
0.309,1083
0.31,1079
0.311,1085
0.312,1082
0.313,1087
0.314,1078
0.315,1085
0.316,1079
0.317,1074
0.318,1072
0.319,1078
0.32,1087
0.321,1081
0.322,1076
0.323,1083
0.324,1094
0.325,1077
0.326,1087
0.327,1088
0.328,1078
0.329,1086
0.33,1086
0.331,1089
0.332,1082
0.333,1082
0.334,1079
0.335,1080
0.336,1089
