t,y
0,2174
0.001,2111
0.002,2110
0.003,2113
0.004,2106
0.005,2113
0.006,2115
0.007,2104
0.008,2120
0.009,2102
0.01,2122
0.011,2152
0.012,2113
0.013,2166
0.014,2117
0.015,2103
0.016,2109
0.017,2121
0.018,2103
0.019,2118
0.02,2115
0.021,2116
0.022,2108
0.023,2107
0.024,2114
0.025,2112
0.026,2114
0.027,2123
0.028,2105
0.029,2111
0.03,2118
0.031,2122
0.032,2106
0.033,2111
0.034,2105
0.035,2115
0.036,2111
0.037,2114
0.038,2114
0.039,2120
0.04,2107
0.041,2120
0.042,2114
0.043,2107
0.044,2108
0.045,2105
0.046,2119
0.047,2100
0.048,2107
0.049,2123
0.05,2113
0.051,2112
0.052,2115
0.053,2110
0.054,2117
0.055,2118
0.056,2117
0.057,2118
0.058,2106
0.059,2110
0.06,2119
0.061,2120
0.062,2114
0.063,2127
0.064,2117
0.065,2107
0.066,2110
0.067,2110
0.068,2112
0.069,2119
0.07,2108
0.071,2106
0.072,2113
0.073,2107
0.074,2102
0.075,2118
0.076,2106
0.077,2118
0.078,2114
0.079,2117
0.08,2119
0.081,2107
0.082,2111
0.083,2106
0.084,2120
0.085,2110
0.086,2118
0.087,2122
0.088,2107
0.089,2115
0.09,2116
0.091,2119
0.092,2112
0.093,2115
0.094,2117
0.095,2105
0.096,2107
0.097,2116
0.098,2111
0.099,2119
0.1,2117
0.101,2118
0.102,2115
0.103,2119
0.104,2104
0.105,2121
0.106,2115
0.107,2099
0.108,2109
0.109,2117
0.11,2114
0.111,2130
0.112,2103
0.113,2117
0.114,2117
0.115,2112
0.116,2116
0.117,2106
0.118,2116
0.119,2114
0.12,2114
0.121,2101
0.122,2116
0.123,2115
0.124,2112
0.125,2106
0.126,2115
0.127,2113
0.128,2117
0.129,2113
0.13,2109
0.131,2112
0.132,2110
0.133,2104
0.134,2106
0.135,2119
0.136,2103
0.137,2111
0.138,2106
0.139,2118
0.14,2120
0.141,2107
0.142,2120
0.143,2114
0.144,2111
0.145,2107
0.146,2117
0.147,2112
0.148,2104
0.149,2103
0.15,2108
0.151,2121
0.152,2104
0.153,2114
0.154,2122
0.155,2103
0.156,2118
0.157,2117
0.158,2105
0.159,2111
0.16,2112
0.161,2115
0.162,2120
0.163,2102
0.164,2106
0.165,2118
0.166,2113
0.167,2108
0.168,2133
0.169,2114
0.17,2104
0.171,2112
0.172,2106
0.173,2115
0.174,2106
0.175,2110
0.176,2117
0.177,2114
0.178,2114
0.179,2105
0.18,2119
0.181,2119
0.182,2117
0.183,2110
0.184,2117
0.185,2105
0.186,2112
0.187,2110
0.188,2111
0.189,2108
0.19,2105
0.191,2115
0.192,2112
0.193,2115
0.194,2105
0.195,2110
0.196,2108
0.197,2107
0.198,2115
0.199,2112
0.2,2115
0.201,2114
0.202,2119
0.203,2103
0.204,2116
0.205,2123
0.206,2108
0.207,2110
0.208,2120
0.209,2107
0.21,2108
0.211,2107
0.212,2109
0.213,2121
0.214,2105
0.215,2106
0.216,2104
0.217,2117
0.218,2113
0.219,2113
0.22,2112
0.221,2110
0.222,2103
0.223,2119
0.224,2127
0.225,2107
0.226,2101
0.227,2110
0.228,2107
0.229,2117
0.23,2104
0.231,2112
0.232,2113
0.233,2115
0.234,2103
0.235,2115
0.236,2106
0.237,2112
0.238,2110
0.239,2122
0.24,2107
0.241,2119
0.242,2113
0.243,2111
0.244,2115
0.245,2112
