t,y
0,1887
0.001,1876
0.002,1876
0.003,1870
0.004,1876
0.005,1880
0.006,1864
0.007,1873
0.008,1883
0.009,1875
0.01,1870
0.011,1885
0.012,1873
0.013,1872
0.014,1875
0.015,1877
0.016,1877
0.017,1878
0.018,1876
0.019,1872
0.02,1875
0.021,1864
0.022,1875
0.023,1877
0.024,1879
0.025,1864
0.026,1886
0.027,1874
0.028,1876
0.029,1878
0.03,1880
0.031,1869
0.032,1869
0.033,1866
0.034,1893
0.035,1876
0.036,1870
0.037,1864
0.038,1869
0.039,1875
0.04,1870
0.041,1870
0.042,1877
0.043,1883
0.044,1868
0.045,1864
0.046,1873
0.047,1872
0.048,1882
0.049,1879
0.05,1876
0.051,1872
0.052,1883
0.053,1872
0.054,1878
0.055,1878
0.056,1878
0.057,1876
0.058,1872
0.059,1883
0.06,1873
0.061,1883
0.062,1880
0.063,1879
0.064,1873
0.065,1876
0.066,1863
0.067,1877
0.068,1882
0.069,1870
0.07,1869
0.071,1874
0.072,1876
0.073,1885
0.074,1866
0.075,1883
0.076,1877
0.077,1871
0.078,1881
0.079,1878
0.08,1871
0.081,1866
0.082,1886
0.083,1878
0.084,1871
0.085,1876
0.086,1868
0.087,1870
0.088,1881
0.089,1876
0.09,1873
0.091,1873
0.092,1879
0.093,1873
0.094,1878
0.095,1880
0.096,1884
0.097,1874
0.098,1883
0.099,1872
0.1,1875
0.101,1867
0.102,1881
0.103,1864
0.104,1877
0.105,1878
0.106,1871
0.107,1869
0.108,1875
0.109,1876
0.11,1879
0.111,1870
0.112,1873
0.113,1872
0.114,1882
0.115,1875
0.116,1882
0.117,1871
0.118,1881
0.119,1875
0.12,1863
0.121,1873
0.122,1879
0.123,1876
0.124,1879
0.125,1868
0.126,1867
0.127,1874
0.128,1879
0.129,1877
0.13,1881
0.131,1879
0.132,1872
0.133,1872
0.134,1875
0.135,1871
0.136,1877
0.137,1879
0.138,1868
0.139,1876
0.14,1867
0.141,1885
0.142,1869
0.143,1879
0.144,1871
0.145,1876
0.146,1867
0.147,1864
0.148,1879
0.149,1883
0.15,1885
0.151,1880
0.152,1866
0.153,1880
0.154,1879
0.155,1865
0.156,1878
0.157,1877
0.158,1878
0.159,1878
0.16,1871
0.161,1878
0.162,1872
0.163,1867
0.164,1881
0.165,1869
0.166,1877
0.167,1874
0.168,1870
0.169,1887
0.17,1879
0.171,1885
0.172,1876
0.173,1878
0.174,1882
0.175,1884
0.176,1866
0.177,1877
0.178,1875
0.179,1870
0.18,1877
0.181,1883
0.182,1883
0.183,1872
0.184,1869
0.185,1874
0.186,1869
0.187,1874
0.188,1869
0.189,1876
0.19,1876
0.191,1872
0.192,1880
0.193,1882
0.194,1869
0.195,1869
0.196,1880
0.197,1877
0.198,1879
0.199,1866
0.2,1877
0.201,1873
0.202,1877
0.203,1876
0.204,1872
0.205,1878
0.206,1880
0.207,1878
0.208,1871
0.209,1872
0.21,1872
0.211,1869
0.212,1875
0.213,1879
0.214,1870
0.215,1866
0.216,1873
0.217,1863
0.218,1882
0.219,1868
0.22,1875
0.221,1871
0.222,1876
0.223,1871
0.224,1867
0.225,1877
0.226,1881
0.227,1870
0.228,1873
0.229,1870
0.23,1870
0.231,1882
0.232,1872
0.233,1881
0.234,1885
0.235,1870
0.236,1869
0.237,1875
0.238,1881
0.239,1872
0.24,1885
0.241,1884
0.242,1877
0.243,1874
0.244,1866
0.245,1880
0.246,1874
0.247,1873
0.248,1872
0.249,1871
0.25,1885
0.251,1882
0.252,1877
0.253,1867
0.254,1876
0.255,1871
