t,y
0,242
0.001,239
0.002,245
0.003,242
0.004,242
0.005,239
0.006,242
0.007,236
0.008,242
0.009,231
0.01,240
0.011,241
0.012,240
0.013,243
0.014,240
0.015,242
0.016,242
0.017,242
0.018,238
0.019,248
0.02,242
0.021,239
0.022,240
0.023,246
0.024,241
0.025,235
0.026,242
0.027,243
0.028,242
0.029,243
0.03,243
0.031,247
0.032,243
0.033,241
0.034,242
0.035,241
0.036,242
0.037,242
0.038,241
0.039,241
0.04,243
0.041,243
0.042,240
0.043,243
0.044,242
0.045,242
0.046,242
0.047,242
0.048,239
0.049,239
0.05,240
0.051,238
0.052,244
0.053,240
0.054,243
0.055,240
0.056,233
0.057,248
0.058,240
0.059,243
0.06,240
0.061,241
0.062,239
0.063,238
0.064,240
0.065,242
0.066,245
0.067,239
0.068,239
0.069,243
0.07,244
0.071,244
0.072,240
0.073,243
0.074,234
0.075,242
0.076,238
0.077,239
0.078,243
0.079,240
0.08,241
0.081,241
0.082,241
0.083,239
0.084,248
0.085,239
0.086,242
0.087,242
0.088,241
0.089,239
0.09,243
0.091,241
0.092,243
0.093,240
0.094,244
0.095,240
0.096,243
0.097,245
0.098,243
0.099,242
0.1,243
0.101,243
0.102,243
0.103,239
0.104,240
0.105,242
0.106,243
0.107,244
0.108,244
0.109,244
0.11,243
0.111,239
0.112,242
0.113,241
0.114,241
0.115,240
0.116,244
0.117,242
0.118,241
0.119,243
0.12,243
0.121,240
0.122,239
0.123,241
0.124,237
0.125,243
0.126,244
0.127,240
0.128,243
0.129,241
0.13,236
0.131,241
0.132,241
0.133,240
0.134,238
0.135,241
0.136,241
0.137,242
0.138,241
0.139,244
0.14,242
0.141,242
0.142,240
0.143,236
0.144,240
0.145,243
0.146,239
0.147,241
0.148,242
0.149,235
0.15,240
0.151,244
0.152,242
0.153,241
0.154,239
0.155,248
0.156,240
0.157,243
0.158,241
0.159,240
0.16,242
0.161,241
0.162,241
0.163,241
0.164,242
0.165,239
0.166,242
0.167,242
0.168,241
0.169,240
0.17,240
0.171,242
0.172,241
0.173,243
0.174,241
0.175,241
0.176,246
0.177,243
0.178,245
0.179,243
0.18,247
0.181,243
0.182,241
0.183,241
0.184,240
0.185,240
0.186,236
0.187,239
0.188,242
0.189,242
0.19,244
0.191,243
0.192,244
0.193,236
0.194,239
0.195,242
0.196,237
0.197,243
0.198,244
0.199,245
0.2,243
0.201,239
0.202,240
0.203,239
0.204,242
0.205,243
0.206,239
0.207,241
0.208,244
0.209,242
0.21,245
0.211,244
0.212,242
0.213,243
0.214,242
0.215,246
0.216,243
0.217,240
0.218,237
0.219,241
0.22,243
0.221,240
0.222,243
0.223,239
0.224,243
0.225,243
0.226,245
0.227,242
0.228,242
0.229,243
0.23,245
0.231,241
0.232,240
0.233,243
0.234,242
0.235,244
0.236,242
0.237,243
0.238,242
0.239,243
0.24,243
0.241,239
0.242,239
0.243,242
0.244,245
0.245,242
0.246,242
0.247,242
0.248,243
0.249,238
0.25,238
0.251,240
0.252,242
0.253,242
0.254,244
0.255,240
0.256,242
0.257,241
0.258,244
0.259,245
0.26,242
0.261,241
0.262,244
0.263,243
0.264,242
0.265,244
0.266,240
0.267,243
0.268,245
0.269,244
0.27,242
0.271,251
0.272,240
0.273,240
0.274,241
0.275,242
0.276,239
0.277,238
0.278,241
0.279,243
0.28,241
0.281,240
0.282,246
0.283,242
0.284,244
0.285,242
0.286,241
0.287,241
0.288,242
0.289,243
0.29,243
0.291,241
0.292,242
0.293,242
0.294,242
0.295,242
0.296,241
0.297,241
0.298,241
0.299,241
0.3,244
0.301,241
0.302,239
0.303,243
0.304,238
0.305,237
0.306,241
0.307,241
0.308,237
0.309,243
0.31,243
0.311,243
0.312,240
0.313,241
0.314,241
0.315,242
0.316,241
0.317,243
0.318,241
0.319,238
0.32,241
0.321,243
0.322,244
0.323,242
0.324,237
0.325,242
0.326,240
0.327,243
0.328,241
0.329,241
0.33,237
0.331,244
0.332,244
0.333,242
0.334,240
0.335,242
0.336,238
0.337,242
0.338,240
0.339,243
0.34,243
0.341,244
0.342,239
0.343,240
0.344,244
0.345,239
0.346,242
0.347,241
0.348,239
0.349,240
0.35,244
0.351,241
0.352,241
0.353,241
0.354,248
0.355,240
0.356,241
0.357,245
0.358,239
0.359,242
0.36,243
0.361,243
0.362,238
0.363,242
0.364,243
0.365,242
0.366,243
0.367,241
0.368,242
0.369,240
0.37,244
0.371,241
0.372,241
0.373,240
0.374,249
0.375,241
0.376,240
0.377,241
0.378,244
0.379,240
0.38,240
0.381,238
0.382,244
0.383,234
0.384,242
0.385,241
0.386,238
0.387,241
0.388,239
0.389,243
0.39,245
0.391,237
0.392,242
0.393,241
0.394,245
0.395,241
0.396,249
0.397,243
0.398,239
0.399,240
0.4,242
0.401,239
0.402,242
0.403,239
0.404,235
0.405,241
0.406,242
0.407,237
0.408,242
0.409,239
0.41,246
0.411,241
0.412,243
0.413,244
0.414,247
0.415,239
0.416,243
0.417,237
0.418,243
0.419,241
0.42,242
0.421,242
0.422,245
0.423,243
0.424,244
0.425,248
0.426,239
0.427,243
0.428,242
0.429,241
0.43,239
0.431,245
0.432,239
0.433,244
0.434,242
0.435,242
0.436,244
0.437,241
0.438,243
0.439,243
0.44,243
0.441,244
0.442,239
0.443,249
0.444,240
0.445,243
0.446,243
0.447,246
0.448,242
0.449,241
0.45,243
0.451,241
0.452,243
0.453,240
0.454,244
0.455,240
0.456,243
0.457,244
0.458,242
0.459,244
0.46,243
0.461,240
0.462,241
0.463,240
0.464,234
0.465,245
0.466,243
0.467,242
0.468,242
0.469,243
0.47,245
0.471,243
0.472,242
0.473,243
0.474,246
0.475,241
0.476,244
0.477,242
0.478,242
0.479,240
0.48,241
0.481,243
0.482,242
0.483,242
0.484,239
0.485,240
0.486,244
0.487,236
0.488,243
0.489,239
0.49,242
0.491,243
0.492,242
0.493,243
0.494,241
0.495,240
0.496,243
0.497,244
0.498,242
0.499,243
0.5,242
0.501,242
0.502,244
0.503,238
0.504,242
0.505,240
0.506,243
0.507,243
0.508,241
0.509,241
0.51,237
0.511,237
0.512,242
0.513,243
0.514,242
0.515,240
0.516,242
0.517,241
0.518,243
0.519,241
0.52,241
0.521,242
0.522,239
0.523,244
0.524,243
0.525,244
0.526,243
0.527,243
0.528,244
0.529,239
0.53,243
0.531,240
0.532,242
0.533,242
0.534,244
0.535,243
0.536,244
0.537,242
0.538,244
0.539,241
0.54,240
0.541,243
0.542,242
0.543,237
0.544,239
0.545,242
0.546,244
0.547,243
0.548,240
0.549,243
0.55,239
0.551,241
0.552,242
0.553,243
0.554,243
0.555,242
0.556,243
0.557,242
0.558,243
0.559,246
0.56,242
0.561,241
0.562,243
0.563,244
0.564,236
0.565,240
0.566,244
0.567,236
0.568,246
0.569,241
0.57,246
0.571,241
0.572,242
0.573,241
0.574,240
0.575,239
0.576,240
0.577,242
0.578,242
0.579,240
0.58,239
0.581,241
0.582,240
0.583,242
0.584,241
0.585,239
0.586,244
0.587,240
0.588,240
0.589,239
0.59,244
0.591,246
0.592,244
0.593,241
0.594,242
0.595,240
0.596,246
0.597,240
0.598,245
0.599,243
0.6,244
0.601,239
0.602,239
0.603,243
0.604,238
0.605,243
0.606,240
0.607,242
0.608,238
0.609,240
0.61,243
0.611,242
0.612,246
0.613,243
0.614,236
0.615,243
0.616,245
0.617,239
0.618,237
0.619,242
0.62,243
0.621,242
0.622,245
0.623,243
0.624,242
0.625,241
0.626,239
0.627,241
0.628,247
