t,y
0,1991
0.001,1999
0.002,1970
0.003,1970
0.004,1974
0.005,1978
0.006,1986
0.007,1974
0.008,1977
0.009,1977
0.01,1975
0.011,1979
0.012,1985
0.013,1980
0.014,1978
0.015,1976
0.016,1971
0.017,1976
0.018,1979
0.019,1974
0.02,1980
0.021,1978
0.022,1982
0.023,1968
0.024,1980
0.025,1976
0.026,1967
0.027,1975
0.028,1971
0.029,1986
0.03,1967
0.031,1973
0.032,1975
0.033,1969
0.034,1979
0.035,1970
0.036,1978
0.037,1979
0.038,1980
0.039,1977
0.04,1983
0.041,1971
0.042,1970
0.043,1971
0.044,1983
0.045,1975
0.046,1983
0.047,1964
0.048,1982
0.049,1976
0.05,1974
0.051,1968
0.052,1974
0.053,1977
0.054,1979
0.055,1981
0.056,1975
0.057,1981
0.058,1972
0.059,1978
0.06,1974
0.061,1984
0.062,1969
0.063,1963
0.064,1982
0.065,1975
0.066,1981
0.067,1974
0.068,1979
0.069,1974
0.07,1970
0.071,1979
0.072,1977
0.073,1977
0.074,1979
0.075,1976
0.076,1984
0.077,1963
0.078,1971
0.079,1982
0.08,1971
0.081,1973
0.082,1971
0.083,1981
0.084,1975
0.085,1979
0.086,1968
0.087,1971
0.088,1978
0.089,1977
0.09,1975
0.091,1979
0.092,1970
0.093,1978
0.094,1984
0.095,1981
0.096,1976
0.097,1973
0.098,1974
0.099,1971
0.1,1975
0.101,1972
0.102,1971
0.103,1974
0.104,1975
0.105,1989
0.106,1976
0.107,1985
0.108,1984
0.109,1979
0.11,1971
0.111,1977
0.112,1973
0.113,1988
0.114,1979
0.115,1973
0.116,1980
0.117,1970
0.118,1968
0.119,1967
0.12,1969
0.121,1974
0.122,1968
0.123,1972
0.124,1975
0.125,1972
0.126,1979
0.127,1974
0.128,1970
0.129,1973
0.13,1979
0.131,1970
0.132,1976
0.133,1981
0.134,1979
0.135,1980
0.136,1971
0.137,1973
0.138,1978
0.139,1987
0.14,1972
0.141,1979
0.142,1974
0.143,1982
0.144,1981
0.145,1970
0.146,1978
0.147,1973
0.148,1968
0.149,1974
0.15,1972
0.151,1973
0.152,1976
0.153,1974
0.154,1977
0.155,1974
0.156,1967
0.157,1982
0.158,1977
0.159,1968
0.16,1975
0.161,1979
0.162,1983
0.163,1969
0.164,1978
0.165,1970
0.166,1968
0.167,1973
0.168,1992
0.169,1981
0.17,1974
0.171,1967
0.172,1979
0.173,1978
0.174,1974
0.175,1972
0.176,1979
0.177,1971
0.178,1976
0.179,1969
0.18,1983
0.181,1972
0.182,1971
0.183,1983
0.184,1980
0.185,1973
0.186,1973
0.187,1978
0.188,1975
0.189,1974
0.19,1974
0.191,1969
0.192,1987
0.193,1982
0.194,1969
0.195,1981
0.196,1972
0.197,1975
0.198,1973
0.199,1980
0.2,1982
0.201,1974
0.202,1977
0.203,1973
0.204,1979
0.205,1970
0.206,1963
0.207,1984
0.208,1975
0.209,1979
0.21,1970
0.211,1981
0.212,1978
0.213,1975
0.214,1976
0.215,1978
0.216,1980
0.217,1978
0.218,1980
0.219,1980
0.22,1991
0.221,1974
0.222,1978
0.223,1981
0.224,1986
0.225,1978
0.226,1971
0.227,1972
0.228,1976
0.229,1967
0.23,1979
0.231,1977
0.232,1974
0.233,1973
0.234,1981
0.235,1979
0.236,1983
0.237,1984
0.238,1977
0.239,1977
0.24,1975
0.241,1974
0.242,1986
0.243,1970
0.244,1971
0.245,1966
0.246,1980
0.247,1971
0.248,1968
0.249,1972
0.25,1972
0.251,1977
0.252,1975
0.253,1968
0.254,1978
0.255,1979
0.256,1982
0.257,1977
0.258,1977
0.259,1968
0.26,1978
0.261,1973
0.262,1985
0.263,1977
0.264,1967
0.265,1974
0.266,1971
0.267,1986
0.268,1978
0.269,1974
0.27,1984
0.271,1977
0.272,1980
0.273,1970
0.274,1977
0.275,1982
0.276,1974
0.277,1974
0.278,1976
0.279,1967
0.28,1971
0.281,1971
0.282,1977
0.283,1970
0.284,1968
0.285,1975
0.286,1983
0.287,1967
0.288,1978
0.289,1976
0.29,1976
0.291,1969
0.292,1983
0.293,1984
0.294,1976
0.295,1977
0.296,1978
0.297,1970
0.298,1970
0.299,1983
0.3,1971
0.301,1969
0.302,1979
0.303,1981
0.304,1965
0.305,1969
0.306,1970
0.307,1980
0.308,1976
0.309,1977
0.31,1971
0.311,1978
0.312,1969
0.313,1977
0.314,1967
0.315,1979
0.316,1980
0.317,1970
0.318,1968
0.319,1972
0.32,1979
0.321,1982
0.322,1971
0.323,1970
0.324,1974
0.325,1975
0.326,1977
0.327,1982
0.328,1969
0.329,1973
0.33,1969
0.331,1968
0.332,1987
0.333,1977
0.334,1976
0.335,1981
0.336,1975
0.337,1973
0.338,1972
0.339,1975
0.34,1969
0.341,1979
0.342,1979
0.343,1974
0.344,1976
0.345,1973
0.346,1986
0.347,1979
0.348,1980
0.349,1979
0.35,1975
0.351,1981
0.352,1971
0.353,1984
0.354,1970
0.355,1973
0.356,1978
0.357,1969
0.358,1973
0.359,1979
0.36,1976
0.361,1982
0.362,1973
0.363,1980
0.364,1969
0.365,1971
0.366,1972
0.367,1974
0.368,1983
0.369,1980
0.37,1982
0.371,1974
0.372,1970
0.373,1977
0.374,1980
0.375,1977
0.376,1975
0.377,1973
0.378,1982
0.379,1979
0.38,1983
0.381,1975
0.382,1973
0.383,1975
0.384,1972
0.385,1975
0.386,1978
0.387,1970
0.388,1972
0.389,1975
0.39,1978
0.391,1975
0.392,1965
0.393,1974
0.394,1982
0.395,1981
0.396,1973
0.397,1986
0.398,1978
0.399,1968
0.4,1980
0.401,1971
0.402,1979
0.403,1971
0.404,1983
0.405,1978
0.406,1981
0.407,1969
0.408,1973
0.409,1981
0.41,1982
0.411,1979
0.412,1979
0.413,1979
0.414,1976
0.415,1969
