t,y
0,2142
0.001,2102
0.002,2106
0.003,2096
0.004,2097
0.005,2098
0.006,2085
0.007,2095
0.008,2092
0.009,2096
0.01,2102
0.011,2139
0.012,2092
0.013,2092
0.014,2088
0.015,2091
0.016,2088
0.017,2092
0.018,2095
0.019,2109
0.02,2095
0.021,2089
0.022,2096
0.023,2101
0.024,2081
0.025,2099
0.026,2093
0.027,2099
0.028,2091
0.029,2102
0.03,2095
0.031,2096
0.032,2147
0.033,2099
0.034,2099
0.035,2094
0.036,2092
0.037,2090
0.038,2095
0.039,2086
0.04,2091
0.041,2096
0.042,2097
0.043,2098
0.044,2098
0.045,2086
0.046,2096
0.047,2102
0.048,2103
0.049,2106
0.05,2092
0.051,2109
0.052,2101
0.053,2092
0.054,2097
0.055,2087
0.056,2108
0.057,2095
0.058,2090
0.059,2103
0.06,2100
0.061,2095
0.062,2096
0.063,2102
0.064,2101
0.065,2094
0.066,2117
0.067,2104
0.068,2088
0.069,2099
0.07,2099
0.071,2109
0.072,2099
0.073,2090
0.074,2095
0.075,2098
0.076,2101
0.077,2102
0.078,2101
0.079,2090
0.08,2094
0.081,2094
0.082,2097
0.083,2121
0.084,2090
0.085,2110
0.086,2096
0.087,2101
0.088,2088
0.089,2096
0.09,2095
0.091,2089
0.092,2093
0.093,2092
0.094,2100
0.095,2097
0.096,2092
0.097,2091
0.098,2092
0.099,2100
0.1,2096
0.101,2090
0.102,2105
0.103,2087
0.104,2101
0.105,2107
0.106,2100
0.107,2094
0.108,2101
0.109,2101
0.11,2097
0.111,2090
0.112,2099
0.113,2105
0.114,2088
0.115,2107
0.116,2098
0.117,2100
0.118,2096
0.119,2098
0.12,2097
0.121,2090
0.122,2096
0.123,2100
0.124,2100
0.125,2094
0.126,2093
0.127,2092
0.128,2091
0.129,2090
0.13,2093
0.131,2095
0.132,2111
0.133,2099
0.134,2095
0.135,2099
0.136,2093
0.137,2112
0.138,2093
0.139,2096
0.14,2102
0.141,2092
0.142,2096
0.143,2104
0.144,2090
0.145,2095
0.146,2096
0.147,2093
0.148,2098
0.149,2091
0.15,2095
0.151,2099
0.152,2103
0.153,2088
0.154,2102
0.155,2095
0.156,2096
0.157,2101
0.158,2092
0.159,2098
0.16,2095
0.161,2090
0.162,2097
0.163,2094
0.164,2099
0.165,2084
0.166,2102
0.167,2088
0.168,2096
0.169,2099
0.17,2094
0.171,2096
0.172,2093
0.173,2096
0.174,2099
0.175,2089
0.176,2093
0.177,2094
0.178,2096
0.179,2100
0.18,2098
0.181,2109
0.182,2098
0.183,2101
0.184,2096
0.185,2087
0.186,2073
0.187,2103
0.188,2097
0.189,2097
0.19,2096
0.191,2096
0.192,2103
0.193,2091
0.194,2098
0.195,2091
0.196,2093
0.197,2094
0.198,2092
0.199,2094
0.2,2095
0.201,2099
0.202,2093
0.203,2099
0.204,2098
0.205,2095
0.206,2091
0.207,2097
0.208,2092
0.209,2091
0.21,2091
0.211,2090
0.212,2101
0.213,2096
0.214,2097
0.215,2098
0.216,2096
0.217,2103
0.218,2096
0.219,2098
0.22,2090
0.221,2099
0.222,2097
0.223,2099
0.224,2103
0.225,2094
0.226,2092
0.227,2097
0.228,2087
0.229,2108
0.23,2091
0.231,2089
0.232,2102
0.233,2094
0.234,2091
0.235,2091
0.236,2098
0.237,2090
0.238,2090
0.239,2102
0.24,2087
0.241,2098
0.242,2089
0.243,2098
0.244,2088
0.245,2082
0.246,2096
0.247,2097
0.248,2094
0.249,2083
0.25,2094
0.251,2089
0.252,2095
0.253,2089
0.254,2086
0.255,2090
0.256,2100
0.257,2094
0.258,2081
0.259,2102
0.26,2102
0.261,2086
0.262,2085
0.263,2086
0.264,2102
0.265,2096
0.266,2094
0.267,2086
0.268,2089
0.269,2089
0.27,2098
0.271,2099
0.272,2094
0.273,2094
0.274,2086
0.275,2092
0.276,2087
0.277,2088
0.278,2094
0.279,2099
0.28,2093
0.281,2095
0.282,2089
0.283,2098
0.284,2109
0.285,2094
0.286,2088
0.287,2093
0.288,2095
0.289,2094
0.29,2089
