t,y
0,2148
0.001,2163
0.002,2140
0.003,2127
0.004,2136
0.005,2133
0.006,2126
0.007,2128
0.008,2146
0.009,2129
0.01,2136
0.011,2122
0.012,2143
0.013,2112
0.014,2103
0.015,2141
0.016,2142
0.017,2142
0.018,2136
0.019,2129
0.02,2125
0.021,2125
0.022,2142
0.023,2117
0.024,2119
0.025,2138
0.026,2141
0.027,2128
0.028,2134
0.029,2117
0.03,2098
0.031,2112
0.032,2096
0.033,2103
0.034,2107
0.035,2108
0.036,2103
0.037,2100
0.038,2103
0.039,2114
0.04,2108
0.041,2123
0.042,2116
0.043,2110
0.044,2104
0.045,2095
0.046,2100
0.047,2106
0.048,2100
0.049,2109
0.05,2111
0.051,2106
0.052,2111
0.053,2099
0.054,2105
0.055,2116
0.056,2109
0.057,2099
0.058,2100
0.059,2110
0.06,2104
0.061,2111
0.062,2111
0.063,2110
0.064,2116
0.065,2102
0.066,2106
0.067,2100
0.068,2112
0.069,2107
0.07,2107
0.071,2120
0.072,2112
0.073,2105
0.074,2111
0.075,2107
0.076,2105
0.077,2103
0.078,2133
0.079,2106
0.08,2109
0.081,2112
0.082,2101
0.083,2104
0.084,2111
0.085,2107
0.086,2105
0.087,2112
0.088,2103
0.089,2109
0.09,2100
0.091,2115
0.092,2110
0.093,2098
0.094,2106
0.095,2101
0.096,2104
0.097,2102
0.098,2103
0.099,2106
0.1,2105
0.101,2107
0.102,2111
0.103,2111
0.104,2106
0.105,2102
0.106,2099
0.107,2106
0.108,2099
0.109,2107
0.11,2106
0.111,2112
0.112,2100
0.113,2100
0.114,2099
0.115,2110
0.116,2124
0.117,2114
0.118,2100
0.119,2102
0.12,2104
0.121,2103
0.122,2103
0.123,2115
0.124,2096
0.125,2110
0.126,2109
0.127,2106
0.128,2108
0.129,2103
0.13,2104
0.131,2112
0.132,2100
0.133,2103
0.134,2111
0.135,2112
0.136,2114
0.137,2103
0.138,2104
0.139,2106
0.14,2102
0.141,2097
0.142,2112
0.143,2106
0.144,2108
0.145,2115
0.146,2102
0.147,2097
0.148,2106
0.149,2114
0.15,2116
0.151,2108
0.152,2097
0.153,2098
0.154,2116
0.155,2138
0.156,2109
0.157,2101
0.158,2111
0.159,2107
0.16,2106
0.161,2103
0.162,2100
0.163,2110
0.164,2106
0.165,2114
0.166,2112
0.167,2098
0.168,2115
0.169,2106
0.17,2112
0.171,2098
0.172,2111
0.173,2113
0.174,2099
0.175,2098
0.176,2105
0.177,2111
0.178,2111
0.179,2111
0.18,2107
0.181,2110
0.182,2101
0.183,2119
0.184,2110
0.185,2098
0.186,2108
0.187,2104
0.188,2111
0.189,2104
0.19,2107
0.191,2108
0.192,2114
0.193,2125
0.194,2111
0.195,2112
0.196,2108
0.197,2109
0.198,2104
0.199,2107
0.2,2108
0.201,2111
0.202,2104
0.203,2097
0.204,2109
0.205,2111
0.206,2107
0.207,2105
0.208,2111
0.209,2102
0.21,2099
0.211,2103
0.212,2114
0.213,2112
0.214,2111
0.215,2104
0.216,2110
0.217,2100
0.218,2103
0.219,2099
0.22,2101
0.221,2103
0.222,2108
0.223,2117
0.224,2097
0.225,2113
0.226,2112
0.227,2097
0.228,2101
0.229,2106
0.23,2101
0.231,2101
0.232,2111
0.233,2131
0.234,2115
0.235,2100
0.236,2104
0.237,2114
0.238,2109
0.239,2114
0.24,2100
0.241,2106
0.242,2120
0.243,2114
0.244,2103
0.245,2114
0.246,2108
0.247,2108
0.248,2099
0.249,2112
0.25,2106
0.251,2108
0.252,2107
0.253,2103
0.254,2112
0.255,2108
0.256,2106
0.257,2112
0.258,2099
0.259,2110
0.26,2112
0.261,2115
0.262,2101
0.263,2117
0.264,2102
0.265,2109
0.266,2105
0.267,2113
0.268,2125
0.269,2107
0.27,2107
0.271,2106
0.272,2102
0.273,2116
0.274,2100
0.275,2100
0.276,2109
0.277,2098
0.278,2097
0.279,2106
0.28,2111
0.281,2106
0.282,2114
0.283,2120
0.284,2098
0.285,2098
0.286,2097
0.287,2104
0.288,2103
0.289,2107
0.29,2108
0.291,2101
0.292,2099
0.293,2106
0.294,2107
0.295,2108
0.296,2106
0.297,2103
0.298,2105
0.299,2105
0.3,2108
0.301,2107
0.302,2104
0.303,2109
0.304,2096
0.305,2103
0.306,2114
0.307,2109
0.308,2110
0.309,2145
0.31,2101
0.311,2108
0.312,2112
0.313,2104
0.314,2116
0.315,2108
0.316,2104
0.317,2112
0.318,2119
0.319,2104
0.32,2112
0.321,2103
0.322,2104
0.323,2105
0.324,2109
0.325,2113
0.326,2108
0.327,2106
0.328,2104
0.329,2104
0.33,2102
0.331,2101
0.332,2111
0.333,2115
0.334,2110
0.335,2102
0.336,2110
0.337,2094
0.338,2112
0.339,2101
0.34,2109
0.341,2112
0.342,2095
0.343,2104
0.344,2110
0.345,2102
0.346,2123
0.347,2100
0.348,2102
0.349,2108
0.35,2112
0.351,2109
0.352,2108
0.353,2107
0.354,2108
0.355,2098
0.356,2114
0.357,2104
0.358,2103
0.359,2101
0.36,2112
0.361,2108
0.362,2093
0.363,2110
0.364,2100
0.365,2104
0.366,2104
0.367,2105
0.368,2103
0.369,2104
0.37,2102
0.371,2103
0.372,2095
0.373,2111
0.374,2115
0.375,2105
0.376,2114
0.377,2102
0.378,2119
0.379,2111
0.38,2100
0.381,2112
0.382,2108
0.383,2110
0.384,2120
0.385,2104
0.386,2109
0.387,2114
0.388,2108
0.389,2102
0.39,2101
0.391,2112
0.392,2105
0.393,2105
0.394,2111
0.395,2106
0.396,2114
0.397,2103
0.398,2110
0.399,2100
0.4,2100
0.401,2101
0.402,2098
0.403,2109
0.404,2106
0.405,2110
0.406,2110
0.407,2111
0.408,2102
0.409,2107
0.41,2100
0.411,2115
0.412,2112
0.413,2105
0.414,2103
0.415,2097
0.416,2110
0.417,2103
0.418,2108
0.419,2107
0.42,2112
0.421,2112
0.422,2103
0.423,2121
0.424,2110
0.425,2108
0.426,2102
0.427,2111
0.428,2105
0.429,2107
0.43,2098
0.431,2103
0.432,2101
0.433,2096
0.434,2111
0.435,2099
0.436,2102
0.437,2108
0.438,2111
0.439,2104
0.44,2098
0.441,2103
0.442,2101
0.443,2116
0.444,2106
0.445,2105
