t,y
0,2337
0.001,2309
0.002,2274
0.003,2297
0.004,2334
0.005,2287
0.006,2299
0.007,2311
0.008,2310
0.009,2306
0.01,2312
0.011,2298
0.012,2299
0.013,2307
0.014,2312
0.015,2307
0.016,2315
0.017,2302
0.018,2307
0.019,2301
0.02,2298
0.021,2300
0.022,2302
0.023,2292
0.024,2279
0.025,2272
0.026,2285
0.027,2273
0.028,2283
0.029,2273
0.03,2279
0.031,2278
0.032,2270
0.033,2277
0.034,2276
0.035,2275
0.036,2282
0.037,2278
0.038,2278
0.039,2277
0.04,2283
0.041,2283
0.042,2283
0.043,2287
0.044,2276
0.045,2275
0.046,2278
0.047,2289
0.048,2270
0.049,2284
0.05,2277
0.051,2283
0.052,2273
0.053,2278
0.054,2286
0.055,2278
0.056,2276
0.057,2282
0.058,2275
0.059,2272
0.06,2297
0.061,2272
0.062,2282
0.063,2277
0.064,2270
0.065,2275
0.066,2284
0.067,2272
0.068,2278
0.069,2281
0.07,2284
0.071,2272
0.072,2281
0.073,2288
0.074,2269
0.075,2282
0.076,2286
0.077,2284
0.078,2271
0.079,2281
0.08,2285
0.081,2282
0.082,2276
0.083,2274
0.084,2277
0.085,2280
0.086,2281
0.087,2273
0.088,2274
0.089,2275
0.09,2278
0.091,2273
0.092,2278
0.093,2273
0.094,2282
0.095,2281
0.096,2293
0.097,2275
0.098,2278
0.099,2282
0.1,2280
0.101,2283
0.102,2271
0.103,2270
0.104,2272
0.105,2286
0.106,2287
0.107,2279
0.108,2274
0.109,2283
0.11,2278
0.111,2285
0.112,2277
0.113,2284
0.114,2271
0.115,2281
0.116,2284
0.117,2276
0.118,2284
0.119,2275
0.12,2271
0.121,2287
0.122,2282
0.123,2267
0.124,2279
0.125,2284
0.126,2284
0.127,2278
0.128,2284
0.129,2276
0.13,2288
0.131,2274
0.132,2287
0.133,2281
0.134,2283
0.135,2279
0.136,2280
0.137,2287
0.138,2268
0.139,2276
0.14,2276
0.141,2277
0.142,2281
0.143,2283
0.144,2273
0.145,2277
0.146,2284
0.147,2289
0.148,2283
0.149,2286
0.15,2272
0.151,2287
0.152,2277
0.153,2286
0.154,2276
0.155,2276
0.156,2282
0.157,2280
0.158,2280
0.159,2281
0.16,2282
0.161,2276
0.162,2276
0.163,2275
0.164,2286
0.165,2275
0.166,2274
0.167,2279
0.168,2299
0.169,2282
0.17,2281
0.171,2279
0.172,2274
0.173,2282
0.174,2275
0.175,2276
0.176,2288
0.177,2278
0.178,2273
0.179,2287
0.18,2292
0.181,2293
0.182,2279
0.183,2276
0.184,2278
0.185,2286
0.186,2284
0.187,2279
0.188,2281
0.189,2279
0.19,2284
0.191,2287
0.192,2280
0.193,2279
0.194,2275
0.195,2280
0.196,2272
0.197,2288
0.198,2286
0.199,2281
0.2,2277
0.201,2308
0.202,2315
0.203,2281
0.204,2280
0.205,2282
0.206,2279
0.207,2271
0.208,2282
0.209,2274
0.21,2273
0.211,2273
0.212,2278
0.213,2279
0.214,2274
0.215,2276
0.216,2279
0.217,2276
0.218,2278
0.219,2279
0.22,2269
0.221,2272
0.222,2283
0.223,2278
0.224,2279
0.225,2271
0.226,2282
0.227,2273
0.228,2281
0.229,2277
0.23,2285
0.231,2277
0.232,2280
0.233,2274
0.234,2292
0.235,2282
0.236,2313
0.237,2276
0.238,2274
0.239,2284
0.24,2287
0.241,2272
0.242,2273
0.243,2281
0.244,2294
0.245,2288
0.246,2289
0.247,2276
0.248,2275
0.249,2273
0.25,2285
0.251,2281
0.252,2282
0.253,2284
0.254,2275
0.255,2283
0.256,2281
0.257,2283
0.258,2276
0.259,2275
0.26,2274
0.261,2279
0.262,2279
0.263,2278
0.264,2275
0.265,2272
0.266,2277
0.267,2272
0.268,2280
0.269,2283
0.27,2295
0.271,2277
0.272,2275
0.273,2279
0.274,2283
0.275,2283
0.276,2272
0.277,2283
0.278,2283
0.279,2279
0.28,2291
0.281,2275
0.282,2281
0.283,2285
0.284,2277
0.285,2270
0.286,2281
0.287,2282
0.288,2274
0.289,2281
0.29,2281
0.291,2287
0.292,2281
0.293,2276
0.294,2276
0.295,2275
0.296,2273
0.297,2280
0.298,2272
0.299,2275
0.3,2274
0.301,2278
0.302,2285
0.303,2278
0.304,2282
0.305,2280
0.306,2285
0.307,2275
0.308,2276
0.309,2293
0.31,2270
0.311,2272
0.312,2284
0.313,2275
0.314,2291
0.315,2285
0.316,2272
0.317,2281
0.318,2281
0.319,2278
0.32,2282
0.321,2272
0.322,2285
0.323,2283
0.324,2286
0.325,2271
0.326,2281
0.327,2271
0.328,2286
0.329,2276
0.33,2287
0.331,2281
0.332,2279
0.333,2281
0.334,2285
0.335,2279
0.336,2283
0.337,2279
0.338,2287
0.339,2275
0.34,2273
0.341,2282
0.342,2290
0.343,2276
0.344,2282
0.345,2280
0.346,2275
0.347,2295
0.348,2276
0.349,2272
0.35,2276
0.351,2277
0.352,2270
0.353,2281
0.354,2282
0.355,2280
0.356,2278
0.357,2277
0.358,2284
0.359,2284
0.36,2274
0.361,2283
0.362,2283
0.363,2286
0.364,2279
0.365,2282
0.366,2282
0.367,2289
0.368,2280
0.369,2279
0.37,2267
0.371,2277
0.372,2279
0.373,2268
0.374,2276
0.375,2273
0.376,2283
0.377,2283
0.378,2271
0.379,2274
0.38,2276
0.381,2287
0.382,2278
0.383,2285
0.384,2279
0.385,2293
0.386,2274
0.387,2279
0.388,2285
0.389,2277
0.39,2286
0.391,2289
0.392,2283
0.393,2269
0.394,2278
0.395,2278
0.396,2277
0.397,2282
0.398,2278
0.399,2270
0.4,2283
0.401,2285
0.402,2292
0.403,2273
0.404,2279
0.405,2268
0.406,2283
0.407,2271
0.408,2276
0.409,2271
0.41,2269
0.411,2272
0.412,2283
0.413,2276
0.414,2282
0.415,2272
0.416,2280
0.417,2270
0.418,2285
0.419,2275
0.42,2279
0.421,2281
0.422,2280
0.423,2274
0.424,2298
0.425,2285
0.426,2283
0.427,2274
0.428,2278
0.429,2277
0.43,2285
0.431,2279
0.432,2289
0.433,2278
0.434,2286
0.435,2272
0.436,2281
0.437,2281
0.438,2276
0.439,2287
0.44,2271
0.441,2272
0.442,2283
0.443,2272
0.444,2279
0.445,2284
0.446,2284
0.447,2278
0.448,2285
0.449,2275
0.45,2276
0.451,2275
0.452,2289
0.453,2279
0.454,2281
0.455,2274
0.456,2280
0.457,2281
0.458,2281
0.459,2276
0.46,2281
0.461,2303
0.462,2281
0.463,2281
0.464,2285
0.465,2276
0.466,2287
0.467,2275
0.468,2279
0.469,2290
0.47,2281
0.471,2272
0.472,2279
0.473,2290
0.474,2287
0.475,2288
0.476,2282
0.477,2277
0.478,2292
0.479,2281
0.48,2278
0.481,2276
0.482,2286
0.483,2280
0.484,2283
0.485,2291
0.486,2285
0.487,2281
0.488,2284
0.489,2283
0.49,2268
0.491,2276
0.492,2278
0.493,2291
0.494,2282
0.495,2279
0.496,2283
0.497,2280
0.498,2284
0.499,2281
0.5,2274
0.501,2280
0.502,2274
0.503,2282
0.504,2275
0.505,2270
0.506,2283
0.507,2274
0.508,2275
0.509,2285
0.51,2268
0.511,2275
0.512,2276
0.513,2288
0.514,2285
0.515,2274
0.516,2285
0.517,2276
0.518,2282
0.519,2282
0.52,2279
0.521,2273
0.522,2272
0.523,2270
0.524,2286
0.525,2282
0.526,2277
0.527,2284
0.528,2275
0.529,2271
0.53,2279
0.531,2285
0.532,2277
0.533,2304
0.534,2274
0.535,2288
0.536,2280
0.537,2275
0.538,2276
0.539,2280
0.54,2277
0.541,2282
0.542,2288
0.543,2276
0.544,2277
0.545,2278
0.546,2275
0.547,2287
0.548,2274
0.549,2269
0.55,2283
0.551,2282
0.552,2274
