t,y
0,2183
0.001,2160
0.002,2147
0.003,2162
0.004,2138
0.005,2125
0.006,2137
0.007,2139
0.008,2133
0.009,2139
0.01,2133
0.011,2126
0.012,2135
0.013,2131
0.014,2130
0.015,2139
0.016,2135
0.017,2135
0.018,2134
0.019,2141
0.02,2127
0.021,2126
0.022,2134
0.023,2188
0.024,2124
0.025,2132
0.026,2131
0.027,2135
0.028,2142
0.029,2128
0.03,2141
0.031,2126
0.032,2134
0.033,2143
0.034,2131
0.035,2127
0.036,2136
0.037,2124
0.038,2127
0.039,2133
0.04,2133
0.041,2126
0.042,2134
0.043,2137
0.044,2132
0.045,2127
0.046,2129
0.047,2125
0.048,2125
0.049,2135
0.05,2140
0.051,2137
0.052,2132
0.053,2128
0.054,2134
0.055,2130
0.056,2132
0.057,2120
0.058,2136
0.059,2134
0.06,2128
0.061,2161
0.062,2127
0.063,2128
0.064,2132
0.065,2136
0.066,2138
0.067,2138
0.068,2135
0.069,2136
0.07,2139
0.071,2137
0.072,2130
0.073,2128
0.074,2134
0.075,2137
0.076,2136
0.077,2134
0.078,2136
0.079,2126
0.08,2125
0.081,2130
0.082,2143
0.083,2140
0.084,2129
0.085,2135
0.086,2139
0.087,2128
0.088,2131
0.089,2135
0.09,2125
0.091,2136
0.092,2134
0.093,2125
0.094,2134
0.095,2130
0.096,2128
0.097,2129
0.098,2133
0.099,2136
0.1,2167
0.101,2133
0.102,2143
0.103,2131
0.104,2128
0.105,2131
0.106,2140
0.107,2132
0.108,2139
0.109,2135
0.11,2127
0.111,2124
0.112,2135
0.113,2125
0.114,2136
0.115,2131
0.116,2135
0.117,2134
0.118,2131
0.119,2129
0.12,2145
0.121,2126
0.122,2133
0.123,2126
0.124,2130
0.125,2135
0.126,2138
0.127,2125
0.128,2127
0.129,2133
0.13,2134
0.131,2130
0.132,2137
0.133,2130
0.134,2129
0.135,2135
0.136,2128
0.137,2168
0.138,2133
0.139,2132
0.14,2128
0.141,2135
0.142,2139
0.143,2129
0.144,2135
0.145,2127
0.146,2131
0.147,2139
0.148,2131
0.149,2120
0.15,2129
0.151,2121
0.152,2134
0.153,2121
0.154,2139
0.155,2124
0.156,2139
0.157,2134
0.158,2141
0.159,2128
0.16,2139
0.161,2129
0.162,2132
0.163,2140
0.164,2131
0.165,2129
0.166,2126
0.167,2127
0.168,2130
0.169,2131
0.17,2125
0.171,2136
0.172,2139
0.173,2169
0.174,2132
0.175,2130
0.176,2131
0.177,2137
0.178,2136
0.179,2142
0.18,2139
0.181,2142
0.182,2122
0.183,2129
0.184,2127
0.185,2128
0.186,2129
0.187,2124
0.188,2133
0.189,2136
0.19,2131
0.191,2134
0.192,2144
0.193,2135
0.194,2131
0.195,2132
0.196,2138
0.197,2130
0.198,2140
0.199,2139
0.2,2130
0.201,2129
0.202,2125
0.203,2130
0.204,2136
0.205,2125
0.206,2138
0.207,2137
0.208,2126
0.209,2171
0.21,2138
0.211,2132
0.212,2141
0.213,2128
0.214,2132
0.215,2127
0.216,2138
0.217,2134
0.218,2133
0.219,2138
0.22,2137
0.221,2134
0.222,2142
0.223,2129
0.224,2125
0.225,2137
