t,y
0,2986
0.001,2962
0.002,2923
0.003,2977
0.004,2929
0.005,2929
0.006,2925
0.007,2937
0.008,2933
0.009,2930
0.01,2937
0.011,2940
0.012,2992
0.013,2927
0.014,2935
0.015,2936
0.016,2935
0.017,2934
0.018,2930
0.019,2935
0.02,2934
0.021,2940
0.022,2939
0.023,2932
0.024,2933
0.025,2934
0.026,2924
0.027,2935
0.028,2932
0.029,2930
0.03,2933
0.031,2918
0.032,2926
0.033,2943
0.034,2939
0.035,2933
0.036,2928
0.037,2925
0.038,2928
0.039,2932
0.04,2927
0.041,2925
0.042,2939
0.043,2934
0.044,2942
0.045,2926
0.046,2923
0.047,2936
0.048,2983
0.049,2930
0.05,2929
0.051,2923
0.052,2931
0.053,2930
0.054,2938
0.055,2932
0.056,2927
0.057,2926
0.058,2935
0.059,2934
0.06,2935
0.061,2930
0.062,2932
0.063,2934
0.064,2932
0.065,2939
0.066,2927
0.067,2936
0.068,2932
0.069,2935
0.07,2940
0.071,2936
0.072,2927
0.073,2925
0.074,2932
0.075,2932
0.076,2930
0.077,2930
0.078,2927
0.079,2935
0.08,2936
0.081,2937
0.082,2947
0.083,2927
0.084,2919
0.085,2927
0.086,2939
0.087,2957
0.088,2925
0.089,2935
0.09,2931
0.091,2925
0.092,2931
0.093,2922
0.094,2938
0.095,2927
0.096,2931
0.097,2936
0.098,2924
0.099,2937
0.1,2935
0.101,2935
0.102,2936
0.103,2937
0.104,2932
0.105,2929
0.106,2928
0.107,2941
0.108,2935
0.109,2933
0.11,2923
0.111,2937
0.112,2929
0.113,2934
0.114,2927
0.115,2940
0.116,2924
0.117,2933
0.118,2941
0.119,2931
0.12,2932
0.121,2928
0.122,2932
0.123,2933
0.124,2933
0.125,2976
0.126,2931
0.127,2928
0.128,2928
0.129,2934
0.13,2936
0.131,2928
0.132,2923
0.133,2927
0.134,2926
0.135,2926
0.136,2940
0.137,2941
0.138,2931
0.139,2927
0.14,2932
0.141,2929
0.142,2927
0.143,2930
0.144,2929
0.145,2934
0.146,2936
0.147,2941
0.148,2925
