t,y
0,2530
0.001,2515
0.002,2507
0.003,2478
0.004,2472
0.005,2477
0.006,2466
0.007,2471
0.008,2477
0.009,2476
0.01,2468
0.011,2467
0.012,2474
0.013,2475
0.014,2530
0.015,2481
0.016,2480
0.017,2472
0.018,2464
0.019,2479
0.02,2481
0.021,2469
0.022,2471
0.023,2470
0.024,2479
0.025,2479
0.026,2471
0.027,2458
0.028,2467
0.029,2470
0.03,2481
0.031,2479
0.032,2470
0.033,2475
0.034,2471
0.035,2470
0.036,2467
0.037,2471
0.038,2471
0.039,2481
0.04,2471
0.041,2476
0.042,2476
0.043,2468
0.044,2480
0.045,2480
0.046,2475
0.047,2476
0.048,2467
0.049,2469
0.05,2464
0.051,2476
0.052,2474
0.053,2483
0.054,2502
0.055,2482
0.056,2476
0.057,2475
0.058,2465
0.059,2481
0.06,2467
0.061,2478
0.062,2471
0.063,2476
0.064,2475
0.065,2470
0.066,2472
0.067,2475
0.068,2467
0.069,2475
0.07,2468
0.071,2476
0.072,2478
0.073,2465
0.074,2479
0.075,2476
0.076,2467
0.077,2470
0.078,2472
0.079,2477
0.08,2470
0.081,2472
0.082,2470
0.083,2473
0.084,2464
0.085,2477
0.086,2480
0.087,2467
0.088,2466
0.089,2472
0.09,2479
0.091,2517
0.092,2471
0.093,2468
0.094,2470
0.095,2477
0.096,2469
0.097,2471
0.098,2470
0.099,2469
0.1,2476
0.101,2468
0.102,2477
0.103,2477
0.104,2477
0.105,2470
0.106,2482
0.107,2477
0.108,2467
0.109,2471
0.11,2472
0.111,2477
0.112,2473
0.113,2477
0.114,2481
0.115,2473
0.116,2475
0.117,2467
0.118,2478
0.119,2468
0.12,2470
0.121,2483
0.122,2478
0.123,2466
0.124,2475
0.125,2461
0.126,2471
0.127,2475
0.128,2460
0.129,2477
0.13,2509
0.131,2462
0.132,2477
0.133,2468
0.134,2478
0.135,2473
0.136,2471
0.137,2472
0.138,2466
0.139,2477
0.14,2472
0.141,2467
0.142,2475
0.143,2472
0.144,2469
0.145,2470
0.146,2475
0.147,2469
0.148,2476
0.149,2480
0.15,2485
0.151,2472
0.152,2477
0.153,2466
0.154,2479
0.155,2480
0.156,2477
0.157,2467
0.158,2482
0.159,2465
0.16,2476
0.161,2464
0.162,2477
0.163,2480
0.164,2476
0.165,2467
0.166,2474
0.167,2478
0.168,2471
0.169,2496
0.17,2478
0.171,2459
0.172,2470
0.173,2476
0.174,2476
0.175,2469
0.176,2479
0.177,2479
0.178,2474
0.179,2468
0.18,2467
0.181,2473
0.182,2474
0.183,2467
0.184,2476
0.185,2481
0.186,2471
0.187,2469
0.188,2466
0.189,2466
0.19,2480
0.191,2476
0.192,2476
0.193,2469
0.194,2462
0.195,2475
0.196,2470
0.197,2472
0.198,2482
0.199,2484
0.2,2475
0.201,2473
0.202,2472
0.203,2478
0.204,2476
0.205,2465
0.206,2483
0.207,2465
0.208,2468
0.209,2515
0.21,2467
0.211,2467
0.212,2468
0.213,2471
0.214,2469
0.215,2480
0.216,2475
0.217,2470
0.218,2471
0.219,2475
0.22,2472
0.221,2474
0.222,2477
0.223,2475
0.224,2466
0.225,2469
0.226,2461
0.227,2472
0.228,2477
0.229,2471
0.23,2477
0.231,2471
0.232,2474
0.233,2471
0.234,2474
0.235,2481
0.236,2469
0.237,2464
0.238,2464
0.239,2477
0.24,2481
0.241,2477
0.242,2467
0.243,2467
0.244,2468
0.245,2511
0.246,2478
0.247,2469
0.248,2474
0.249,2476
0.25,2478
0.251,2472
0.252,2472
0.253,2472
0.254,2472
0.255,2472
0.256,2477
0.257,2470
0.258,2475
0.259,2475
0.26,2476
0.261,2474
0.262,2474
0.263,2464
0.264,2468
0.265,2479
0.266,2481
0.267,2486
0.268,2462
0.269,2469
0.27,2476
0.271,2475
0.272,2470
0.273,2469
0.274,2468
0.275,2472
0.276,2473
0.277,2478
0.278,2473
0.279,2465
0.28,2470
0.281,2481
0.282,2464
0.283,2470
0.284,2521
0.285,2473
0.286,2467
0.287,2478
0.288,2469
0.289,2472
0.29,2473
0.291,2477
0.292,2479
0.293,2471
0.294,2465
0.295,2471
0.296,2467
0.297,2467
0.298,2460
0.299,2473
0.3,2482
0.301,2472
0.302,2472
0.303,2471
0.304,2467
0.305,2476
0.306,2476
0.307,2481
0.308,2471
0.309,2467
0.31,2470
0.311,2475
0.312,2471
0.313,2476
0.314,2470
0.315,2475
0.316,2468
0.317,2468
0.318,2478
0.319,2468
0.32,2477
0.321,2505
0.322,2469
0.323,2476
0.324,2478
0.325,2470
0.326,2479
0.327,2479
0.328,2469
0.329,2466
0.33,2473
0.331,2470
0.332,2477
0.333,2466
0.334,2467
0.335,2470
0.336,2471
0.337,2482
0.338,2470
0.339,2472
0.34,2468
0.341,2467
0.342,2476
0.343,2476
0.344,2477
0.345,2475
0.346,2471
0.347,2471
0.348,2474
0.349,2471
0.35,2464
0.351,2481
0.352,2479
0.353,2467
0.354,2481
0.355,2522
0.356,2471
0.357,2468
0.358,2475
0.359,2479
0.36,2469
0.361,2469
0.362,2478
0.363,2481
0.364,2471
0.365,2467
0.366,2478
0.367,2468
0.368,2476
0.369,2475
0.37,2472
0.371,2458
0.372,2480
0.373,2480
0.374,2481
0.375,2477
0.376,2468
0.377,2480
0.378,2461
0.379,2474
0.38,2475
0.381,2473
0.382,2470
0.383,2476
0.384,2468
0.385,2469
0.386,2471
0.387,2470
0.388,2470
0.389,2477
0.39,2474
0.391,2503
0.392,2471
0.393,2471
0.394,2471
0.395,2471
0.396,2472
0.397,2479
0.398,2481
0.399,2473
0.4,2472
0.401,2479
0.402,2482
0.403,2479
0.404,2470
0.405,2465
0.406,2468
0.407,2480
0.408,2477
0.409,2470
0.41,2469
0.411,2470
0.412,2483
0.413,2476
0.414,2475
0.415,2469
0.416,2484
0.417,2468
0.418,2474
0.419,2481
0.42,2475
0.421,2472
0.422,2483
0.423,2467
0.424,2479
0.425,2476
0.426,2479
0.427,2518
0.428,2477
0.429,2465
0.43,2485
0.431,2476
0.432,2477
0.433,2476
0.434,2474
0.435,2470
0.436,2475
0.437,2470
0.438,2477
0.439,2472
0.44,2480
0.441,2467
0.442,2462
0.443,2492
0.444,2476
0.445,2479
0.446,2478
0.447,2472
0.448,2473
0.449,2473
0.45,2469
0.451,2472
0.452,2469
0.453,2478
0.454,2480
0.455,2472
0.456,2528
0.457,2521
0.458,2509
0.459,2481
0.46,2480
0.461,2473
0.462,2479
0.463,2476
0.464,2482
0.465,2475
0.466,2464
0.467,2497
0.468,2479
0.469,2466
0.47,2474
0.471,2467
0.472,2472
0.473,2481
0.474,2471
0.475,2467
0.476,2513
0.477,2472
0.478,2483
0.479,2468
